people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
0x09,1,1,1,1,1,0,0,0,1.0,0.0,0.1959171898220629,1,-1.6306089220208264e-05,1,-1.0032827117716665,1,1
12Me21,5,75,66,5,5,0,0,0,0.0,66.4625,0.0693364776168074,1,-3.4961441957416834,1,-17.312196494096852,1,1
Biswa96,1,4,0,1,1,0,0,0,1.0,0.0,0.1940316936771021,1,-1.2159538435696504e-05,1,-1.0032828080611336,1,1
Braizhauler,1,1,1,1,1,0,0,0,1.0,0.0,0.1959171898220629,1,-1.6306089220208264e-05,1,-1.0032827117716665,1,1
Danack,5,31,29,6,5,0,0,0,1.0,1076.8166666666666,0.1345578426524171,1,0.0794639058993116,1,-2.399008520626655,1,1
Efraim-Kaplan,1,1,1,1,1,0,0,0,1.0,0.0,0.1959171898220629,1,-1.6306089220208264e-05,1,-1.0032827117716665,1,1
MaskRay,1,0,9,1,1,0,0,0,1.0,0.0,0.1926431825908098,1,-1.000076998991517e-07,1,-1.0032820051151454,1,1
SubhadeepG,9,956,338,14,12,0,0,0,1.0,3164.7125,-0.0580388024694029,1,-0.0513289081356109,1,-4.564757966205344,1,1
atlesn,1,5,3,1,1,0,0,0,1.0,0.0,0.1968372401273972,1,-3.03359151665461e-06,1,-1.0032827463253349,1,1
dependabot[bot],1,6,6,3,1,6,6,3,1.0,0.0,-0.0515251461290052,1,-0.0705873312502731,1,-2.6605241122095427,1,1
deymo,3,138,159,4,4,0,0,0,0.5,40359.691666666666,0.0396325041651315,1,0.2989781530451978,1,-13.502261801177454,1,1
dgarciabriseno,4,29,29,4,4,0,0,0,1.0,1.8333333333333333,0.1547136129849038,1,0.0728460745725279,1,-1.8580177283501125,1,1
dloebl,3,63,25,3,3,0,0,0,0.5,229786.88333333333,0.0686365619567666,1,-3.755203468404856,1,-17.56561900012784,1,1
dooman87,10,457,82,11,11,0,0,0,0.5,55947.51666666667,-0.0104695445603735,1,-0.002353487679775,1,-12.750134056595972,1,1
emcconville,3,4,1,3,3,0,0,0,1.0,231244.38333333333,0.0912186561016963,1,-4.071413836226485,1,-19.075933313343,1,1
g0483hqg3,2,3,2,2,2,0,0,0,1.0,1.0833333333333333,0.1869300302714892,1,0.0372674183755084,1,-0.990672539433495,1,1
hifoolno,1,20,17,1,1,0,0,0,1.0,0.0,0.1842921443974709,1,6.035186128627856e-05,1,-1.0032796170551914,1,1
indlin,1,7,1,1,1,0,0,0,0.0,0.0,0.1288237509450204,1,-3.5123859916790447,1,-20.438923371943368,1,1
infinnie,1,1,1,1,1,0,0,0,0.0,0.0,0.1324501888658774,1,-3.5123909619446234,1,-20.43892443953904,1,1
janlinde,1,8,7,4,2,0,0,0,1.0,0.0,0.178418977202017,1,0.0037343823153008,1,-1.0023089161664729,1,1
jeroen,2,168,0,3,3,26,0,1,1.0,28501.43333333333,0.0107349648581768,1,0.0889707652513696,1,-3.8964207905216286,1,1
jkaving,2,4,5,2,2,0,0,0,1.0,11.083333333333334,0.1872256111379409,1,0.0373549955878367,1,-0.9906723880583954,1,1
jmaselbas,11,583,36,16,14,0,0,0,1.0,266.19333333333327,-0.0015811890867809,1,-0.2212433037271601,1,-5.649435860044702,1,1
kinshukdua,1,1,1,1,1,0,0,0,1.0,0.0,0.1959171898220629,1,-1.6306089220208264e-05,1,-1.0032827117716665,1,1
liuchang-cc,38,13597,8872,390,64,3,2,3,1.0,1400.261261261261,-0.2313828981670468,-1,-6.843341915418557,-1,-20.519208655371987,1,-1
mrbesen,1,0,2,1,1,0,0,0,0.0,0.0,0.1238513130789463,1,-3.512390942320833,1,-20.43892447015336,1,1
nathannaveen,1,6,0,2,1,6,0,2,0.0,0.0,0.0124782537272661,1,-3.5290035326814277,1,-19.518380022331435,1,1
naveensrinivasan,1,6,0,1,1,6,0,1,1.0,0.0,0.1215351394081564,1,-0.0034350747614109,1,-0.9906723880583956,1,1
nikoandpiko,3,34,34,14,9,0,0,0,1.0,536.2249999999999,0.0971713705684695,1,0.0652916375816321,1,-1.7400309822118174,1,1
njdoyle,1,45,8,1,1,0,0,0,1.0,0.0,0.1890922453432554,1,9.117185180684828e-05,1,-1.0032759207889377,1,1
oxzi,1,25,1,2,2,0,0,0,1.0,0.0,0.1865837483370681,1,0.0032601694194838,1,-1.0024719132504871,1,1
pfusik,1,1,4,1,1,0,0,0,1.0,0.0,0.1966205732075362,1,-9.35587235595392e-06,1,-1.0032825879188283,1,1
plwm,1,266,8,1,1,0,0,0,1.0,0.0,0.1653093701534236,1,0.0004312971542006,1,-1.0029997286133114,1,1
reaperhulk,2,5,4,2,2,0,0,0,1.0,1.1166666666666667,0.1879724077168212,1,0.0372769199733244,1,-0.9906724872318132,1,1
remicollet,2,16,2,2,2,0,0,0,0.5,309161.15,0.0390261147776779,1,-6.42622803350933,1,-23.070917327875684,-1,1
roelandschoukens,1,2,12,1,1,0,0,0,1.0,0.0,0.1916877914704056,1,1.0990227133689244e-05,1,-1.0032815687812358,1,1
sampatbadhe,1,3,3,3,3,0,0,0,1.0,0.0,0.1755285238214987,1,0.0056601193165946,1,-1.00012001360725,1,1
sumanstats,2,2,2,2,2,0,0,0,1.0,0.55,0.1869300302714892,1,0.0372610195514599,1,-0.9906725162864968,1,1
tomplus,4,10,7,5,5,0,0,0,1.0,14.122222222222222,0.1569359983391192,1,0.0739244755327934,1,-1.8916980341152976,1,1
urban-warrior,1,10,9,3,1,0,0,0,1.0,0.0,0.1894195146616087,1,0.0005561413614412,1,-1.0031986353602738,1,1
xiaoxiaoafeifei,48,84058,59894,1192,194,369,159,42,1.0,7567.408510638297,-0.3547590113671411,-1,-12.449425118964582,-1,-58.64468812787527,-1,-1
