people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
BruceFangShengzhou,5,311,345222,396,39,0,78,3,0.0,361.775,-0.1921587461796182,1,-0.5114122737600126,1,-0.9945954104271696,1,1
Herrie82,1,1,1,1,1,0,0,0,0.0,0.0,0.1585971166449424,1,-2.042961799730847e-09,1,-0.9945954725580702,1,1
UEFICharlesZhang,4,31,2,4,4,24,2,3,0.0,63.833333333333336,-0.0005763812980106,1,-2.0042607573600435e-09,1,-1.0190494135117998,1,1
dependabot[bot],3,18,18,3,3,18,18,3,0.0,245022.39166666663,-0.0483141171765471,1,-0.0629077780417335,1,-1.0084550348579937,1,1
dingguanliang,1,1,1,1,1,0,0,0,0.0,0.0,0.1585971166449424,1,-2.042961799730847e-09,1,-0.9945954725580702,1,1
jg1uaa,1,0,3,1,1,0,0,0,0.0,0.0,0.1044485933791062,1,-9.246122534278813e-09,1,-0.9945955969862876,1,1
mapleAndwoman,3,345220,303,392,35,78,0,3,0.0,1725.8666666666668,-0.1487855788784722,1,-0.4639458054325753,1,-1.0054706611937885,1,1
stsp,2,25,0,2,2,0,0,0,0.0,3.8,0.052204581425221,1,0.0275646838488989,1,-1.0000223603509515,1,1
tbultel,1,3,0,1,1,0,0,0,0.0,0.0,0.1455373008486927,1,1.1918924758269612e-07,1,-0.9945954104271694,1,1
zavorka,1,11,0,1,1,0,0,0,0.0,0.0,0.1242835824940047,1,7.45950832659048e-07,1,-0.994595410865656,1,1
