people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
106umao,6,33,41,6,6,0,0,0,0.25,2524.8,0.1772280403771126,1,2.1072249863003307,1,-0.9932939712925288,1,1
24kpure,45,2225,671,107,45,0,0,0,0.375,12930.061742424245,0.1418485610234168,1,1.198972888536403,1,-1.0327249827377163,1,1
356082462,1,10,5,2,1,0,0,0,0.0,0.0,0.1868183848609813,1,-0.0016059215095935,1,-2.2374792685383853,1,1
AlbumenJ,1888,319489,273106,13058,2439,18743,7662,1315,0.900990099009901,529.9048401342519,-0.2948751804631723,-1,-56.14763209432274,-1,-4.289742028628105,1,-1
Annoyer,2,339,117,3,2,0,0,0,1.0,71.45,0.1594165673214488,1,-1.1795989834425384,1,-2.343900758604722,1,1
Augustvic,15,794,14,53,15,0,0,0,0.0714285714285714,42662.89880952381,0.1584497339145247,1,1.7359769749608915,1,-1.4150281489260232,1,1
AvengerEug,13,104,13,13,13,0,0,0,0.0769230769230769,585.025,0.1778514396297975,1,1.7387029486390375,1,-4.285911155732018,1,1
Benjamin-Yim,12,24,24,12,12,0,0,0,0.0,0.0,0.1822777064509414,1,0.0167099551293219,1,-2.9654219813961964,1,1
Bentley-William,1,4,8,1,1,0,0,0,1.0,0.0,0.1685713017502647,1,-1.1880031586182724,1,-0.9990056118474986,1,1
Bo-Qiu,1,4,17,1,1,0,0,0,0.0,0.0,0.1868183848609813,1,-0.0018103235118829,1,-1.349422494431975,1,1
BurningCN,959,144570,66543,6066,1162,5147,2742,167,0.7543859649122807,671.6441544885173,-0.1537022060092396,-1,-46.112224294369696,-1,-3.2096589162433284,1,-1
CalvinKirs,1,1,1,1,1,0,0,0,1.0,0.0,0.1695176735837426,1,-1.1880738306674417,1,-0.9987978831581732,1,1
Chromico,1,1,1,1,1,1,1,1,1.0,0.0,0.1662185238109825,1,-1.1866351489093176,1,-1.3508084617175442,1,1
Conlin569,1,0,4,1,1,0,0,0,0.0,0.0,0.1868183848609813,1,-0.0020018370029717,1,-0.9987298900318548,1,1
