people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
106umao,1,2,2.0,170.5,1196.0666666666666,0.0,0.1716529887516741,1,2.54042836272264,1,-1.0445206474646742,1,1
24kpure,3,4,1.3333333333333333,30.25,3146.1222222222223,0.0,0.1516356240004052,1,0.9780120211276396,1,-0.9945992543237516,1,1
AlbumenJ,119,207,1.7394957983193278,75.17874396135265,10180.244117647058,0.5316205533596838,-0.2254250551918903,-1,-15.151955852917364,-1,-3.962825646010133,-1,-1
BurningCN,41,70,1.7073170731707317,122.38571428571429,5220.659756097561,0.2857142857142857,-0.0293084089079519,1,-6.367951047589727,1,-2.117892471183869,1,1
CrazyHZM,33,62,1.878787878787879,85.38709677419355,12754.702020202018,0.3086419753086419,-0.0051424214888253,1,-4.850606665681941,1,-2.1494729877694296,1,1
DiegoKrupitza,5,6,1.2,686.5,798.72,0.0,-0.0284034370484995,1,-11.585175353360768,1,-2.8029746567481677,1,1
EarthChen,21,41,1.9523809523809523,52.829268292682926,2389.4809523809527,0.6296296296296297,-0.0216775216304029,1,-8.925837779626374,1,-2.168495191384077,1,1
FinalVersion,1,1,1.0,326.0,9301.75,0.0,0.1352437183626799,1,-1.5543068800297029,1,-1.3548396959715865,1,1
HetaoWang,2,3,1.5,152.0,4335.033333333333,0.0,0.1565267488519885,1,2.3401521085922923,1,-1.0445455023680172,1,1
HousonCao,1,3,3.0,106.0,772.25,0.0,0.1580531075620767,1,2.147765611442825,1,-1.0961889598523125,1,1
JasonKai9527,1,1,1.0,246.0,96084.01666666666,0.0,0.1052524154029611,1,-2.4211310591839315,1,-1.6401929339810473,1,1
JdjzV,1,2,2.0,465.5,1349.2166666666667,0.0,0.094684865665345,1,-5.155518517801061,1,-1.842221484655553,1,1
Lobo-m4,1,2,2.0,116.0,3690.1,0.0,0.1704162852779485,1,2.633321873338449,1,-1.0176016672439696,1,1
MentosL,1,1,1.0,139.0,6795.216666666666,0.0,0.1650833957112751,1,1.5508679655292887,1,-1.0265825155243586,1,1
Oliverwqcwrw,2,2,1.0,14.0,1186.0083333333334,0.2,0.1107355883138657,1,-0.8262304158645861,1,-1.822466013395344,1,1
Qomolang,1,1,1.0,3.0,2077.4,0.0,0.1648110867521522,1,-0.2749580840765144,1,-0.9884815759888717,1,1
Shiyajian,1,2,2.0,10.0,30087.95,0.0,0.140847613225422,1,0.694505403421374,1,-1.0951811249633767,1,1
Wizzercn,1,1,1.0,2.0,4447.3,0.0,0.1628706403018692,1,-0.2799350617739478,1,-0.9893504396176882,1,1
XIACYBING,1,3,3.0,4.0,24661.483333333334,0.0,0.113822312749824,1,0.0919755956725403,1,-1.295496854046247,1,1
XenoAmess,1,3,3.0,145.66666666666666,1960.3333333333333,0.0,0.1579412281454393,1,2.323201702622331,1,-1.1001074191596376,1,1
Yanniiii,1,3,3.0,299.3333333333333,3922.5833333333335,0.0,0.1395013366616042,1,-0.0002923031952235,1,-1.3225097302563231,1,1
YeautyYE,1,4,4.0,102.75,44497.816666666666,0.0,0.0782181010375874,1,-0.071705046325075,1,-1.3551388518208969,1,1
YoungHu,1,2,2.0,170.5,15854.25,0.0,0.1677020755442418,1,2.646479434344794,1,-1.0643559212939857,1,1
ZakiFan,1,1,1.0,15.0,4138.15,0.0,0.171920466890712,1,0.0555048672317006,1,-0.9863942201909872,1,1
changfubai,17,25,1.4705882352941178,65.4,1911.6156862745104,0.3333333333333333,0.0523969583777764,1,-2.2808694833578915,1,-2.24161122834897,1,1
chickenlj,50,82,1.64,156.73170731707316,19182.211,0.4923076923076923,-0.1019628509756049,-1,-10.099235171924096,1,-2.341335081177719,1,1
codeimport,1,2,2.0,457.5,2207.2,0.7692307692307693,-0.0595921372219649,1,-14.04348894465081,1,-2.522934399154261,1,1
codemonstur,1,6,6.0,271.0,5912.216666666666,0.0,0.080341589165003,1,-5.824505900650017,1,-1.807837224521252,1,1
complone,1,2,2.0,162.5,7585.783333333334,0.0,0.1693992824973179,1,2.665490175989856,1,-1.0575420403229017,1,1
dgzpg,1,1,1.0,84.0,1587.9166666666667,0.0,0.1744161170360191,1,1.2455408849480314,1,-0.982341608236284,1,1
djl394922860,1,2,2.0,131.5,420436.93333333335,0.0,-0.0503730869584909,1,-14.325762940487092,-1,-6.039332785703943,-1,-1
eugene-andreev,1,1,1.0,65.0,425.7,0.0,0.1751061054663304,1,0.9949972128661956,1,-0.9855930431805608,1,1
flacocobot,1,5,5.0,205.0,34.03333333333333,0.0,0.1064515631751997,1,-2.215208828516502,1,-1.5354466665270663,1,1
furaul,1,3,3.0,381.3333333333333,4681.516666666666,0.0,0.1111642349673847,1,-2.513287557249855,1,-1.538468149729132,1,1
gitchenjh,2,3,1.5,327.3333333333333,1625.1166666666666,0.0,0.1306560085461439,1,-0.936734830286051,1,-1.3599967229390275,1,1
goodjava,7,22,3.142857142857143,11.181818181818182,2554.873809523809,0.0,0.062681447659506,1,-0.0002921959329249,1,-1.4307366803802,1,1
guohao,33,114,3.4545454545454546,54.70175438596491,5052.757575757576,0.2738095238095238,-0.0582240870778106,1,-9.714888564530646,1,-2.198117074644533,1,1
hadley0828,1,1,1.0,753.0,157026.03333333333,0.0,-0.064036089224979,-1,-13.775327813482845,1,-3.4756017617008714,-1,-1
hanl754,1,2,2.0,58.5,19.116666666666667,0.0,0.1716194941034579,1,1.9152182735011003,1,-0.9908314679762252,1,1
haoyann,4,6,1.5,200.5,5177.841666666666,0.0909090909090909,0.0945346117677809,1,2.167588715274693,1,-1.1375205753013362,1,1
happytimor,1,4,4.0,166.75,7485.45,0.0,0.1287536085795702,1,0.6489719885232006,1,-1.287340154840832,1,1
horizonzy,47,87,1.851063829787234,98.32183908045975,5937.76489361702,0.2777777777777778,-0.0227655816422278,1,-8.254416199239778,1,-2.296095530479738,1,1
htynkn,1,1,1.0,29.0,502.2166666666666,1.0,-0.0475604882913642,1,-13.480152579745038,1,-3.206382864191359,-1,1
huangwenkan9,1,2,2.0,74.0,9440.466666666667,0.0,0.1722250393705526,1,2.262089007958753,1,-0.9877569904583576,1,1
icankeep,7,8,1.1428571428571428,83.25,492.04047619047617,0.1666666666666666,0.0917713148667417,1,1.242440859197277,1,-1.5245104413172572,1,1
icodening,2,4,2.0,156.0,8783.658333333333,0.0,0.1557263218616376,1,2.7873392214870343,1,-1.0507337279036482,1,1
iqinning,1,1,1.0,8.0,240.86666666666667,0.0,0.1649058281063187,1,-0.1637383445171636,1,-0.989716072174011,1,1
jessin20161124,1,1,1.0,4.0,27263.416666666668,0.0,0.138632164083185,1,-0.2926302098457398,1,-0.9950523201423438,1,1
jiangxch,1,2,2.0,14.0,2738.016666666667,0.0,0.1670666552004582,1,0.9220074793144342,1,-0.9834257868599564,1,1
justxuewei,1,2,2.0,194.5,27458.88333333333,0.0,0.1543807904660175,1,2.3389307033104,1,-1.1065550615847115,1,1
juzi214032,3,7,2.333333333333333,142.71428571428572,4642.099999999999,0.1111111111111111,0.1028539942427653,1,3.0123921512585667,1,-1.0979839062318828,1,1
kevinw66,10,20,2.0,51.0,21087.72333333333,0.125,0.0496871405443969,1,1.8758901073928165,1,-1.4646120286286632,1,1
kimmking,6,9,1.5,29.77777777777778,9276.96388888889,0.0588235294117647,0.1010354538888183,1,1.5999514954060814,1,-0.9859018672375413,1,1
kylixs,39,193,4.948717948717949,190.91709844559583,13650.3094017094,0.081967213114754,-0.1468179553408558,-1,-14.359328540666136,-1,-2.655272047486052,1,-1
laddcn,1,4,4.0,36.25,4122.0,0.0,0.1287914819149235,1,-0.6765804650523659,1,-1.49382188961984,1,1
levis9527,1,1,1.0,142.0,117.06666666666666,0.0,0.1673321416693912,1,1.4598976048042118,1,-1.0345868118747463,1,1
linjianming02,1,2,2.0,38.0,774.7,0.0,0.1751827799654068,1,1.5061365683552663,1,-0.9940619026867455,1,1
lishangbu,1,3,3.0,417.3333333333333,3223.9,0.0,0.1014956447440358,1,-3.7456089888413695,1,-1.623774018762385,1,1
liufeiyu1002,1,1,1.0,198.0,65639.86666666667,0.0,0.1289331372908901,1,-0.0410078795229118,1,-1.3536212835566055,1,1
lkxiaolou,1,3,3.0,46.66666666666666,10606.666666666666,0.0,0.153588801256316,1,1.308362313753772,1,-1.191147600803426,1,1
m1ngyuan,1,1,1.0,80.0,448.6,0.0,0.1743804949597518,1,1.1865277906761733,1,-0.9858827325390062,1,1
manzhizhen,1,1,1.0,434.0,1716.5333333333333,0.0,0.1098571285811285,1,-4.87231480234548,1,-1.7405662364979055,1,1
martin-g,1,11,11.0,271.8181818181818,75.05,0.0,-0.074726648990701,-1,-14.3076255181457,-1,-3.1882151538342374,1,-1
owen200008,2,4,2.0,14.5,13451.983333333334,0.0,0.1440031996133613,1,1.0599344333761351,1,-1.023726661394908,1,1
panxiaojun233,1,1,1.0,3.0,427.4,0.0,0.1645422585754966,1,-0.2936082813737339,1,-0.9889104119433654,1,1
ph3636,1,1,1.0,243.0,58690.85,0.0,0.1288211982155027,1,-0.3853561637430758,1,-1.3483284737808494,1,1
pinxiong,17,72,4.235294117647059,169.36111111111111,3867.437254901961,0.0,-0.0171077938418328,1,-5.270164216701071,1,-1.9716792476610592,1,1
pjfanning,1,1,1.0,208.0,2898.7,0.0,0.1617280212811056,1,0.956688493257566,1,-1.173091286856589,1,1
plusmancn,7,8,1.1428571428571428,73.0,1727.454761904762,0.1666666666666666,0.0953291136965783,1,1.1546946925700574,1,-1.576495347466151,1,1
qinliujie,1,3,3.0,95.0,1232.3333333333333,0.25,0.0888910169246346,1,-0.211393205444974,1,-1.6946864504358086,1,1
qixiaobo,1,1,1.0,57.0,2244.383333333333,0.0,0.1758356608340011,1,0.8971138957125149,1,-0.9857822557834912,1,1
rockit-ba,1,1,1.0,14.0,1219.3,0.0,0.1727519909768626,1,0.0005845556688548,1,-0.9906659157314917,1,1
skyguard1,1,1,1.0,12.0,4264.616666666667,0.0,0.1697648400281525,1,-0.0185535097769999,1,-0.99068951047173,1,1
spongecaptain,1,5,5.0,67.0,288.75,0.0,0.1025477638576926,1,-2.6606466800620723,1,-1.6962873186377396,1,1
stonelion,1,3,3.0,84.66666666666667,834.6833333333333,0.0,0.1559646874829399,1,1.9139067489042103,1,-1.1231109299958548,1,1
szpak,1,2,2.0,95.0,340.6166666666667,0.0,0.1715943809510893,1,2.431568076578664,1,-1.0031066303616332,1,1
theonefx,1,2,2.0,142.0,3592.2833333333333,0.0,0.1719085795228309,1,2.6864666466379177,1,-1.036859262724613,1,1
vio-lin,1,2,2.0,5.0,1368.7,0.0,0.1611123372133356,1,0.649353735791955,1,-1.017239148147418,1,1
wangchengming666,16,18,1.125,37.333333333333336,1555.31875,0.9090909090909092,-0.0603578219227454,1,-12.543441059155912,1,-2.887408179268951,1,1
warmonipa,1,3,3.0,219.0,11033.6,0.0,0.1487382858702045,1,1.798022700668092,1,-1.1324952696302202,1,1
wuwen5,3,4,1.3333333333333333,74.0,22401.02777777778,0.0,0.1362155827621735,1,1.800631925454706,1,-0.9749996029604971,1,1
xiaoheng1,17,27,1.588235294117647,84.22222222222223,4163.251960784313,0.4747474747474747,0.0353298516550606,1,-5.456972430027388,1,-2.442201565201977,1,1
xiaotongwang1,1,1,1.0,7.0,372990.25,0.0,-0.0410963536886667,1,-14.14901447871379,-1,-6.163057674728317,-1,-1
zcbbpo,1,1,1.0,17.0,2400.4333333333334,0.0,0.1720394945018608,1,0.0875941353605647,1,-0.9863847827264156,1,1
zenuo,1,1,1.0,107.0,1290.7,0.0,0.1665790599207552,1,1.4210195953292697,1,-1.0173776249293776,1,1
zhangjiezhang,2,3,1.5,235.0,53372.7,0.0,0.10073892509365,1,0.7272857925397105,1,-1.21136277307686,1,1
zhangxin1932,1,1,1.0,25.0,1217.5,0.0,0.1747260093632562,1,0.2622229805729823,1,-0.9858548383375346,1,1
zhangyz-hd,5,7,1.4,45.142857142857146,20600.476666666666,0.0,0.1109498977393468,1,1.4325189240495178,1,-0.9824317465551354,1,1
zhaoguhong,2,2,1.0,79.5,5129.358333333334,0.0,0.1638489015228703,1,1.2933249908683315,1,-0.9887023816691056,1,1
zhongxiongzeng,2,11,5.5,87.9090909090909,1290.625,0.0,0.0603916547853635,1,-3.745472996900277,1,-1.802544593750806,1,1
zhuangjinjin,1,1,1.0,3.0,73.36666666666666,0.0,0.1639760017722107,1,-0.2979539643102296,1,-0.9891261752495176,1,1
zonghaishang,2,8,4.0,40.75,933.525,0.375,0.026507329470623,1,-5.234419718147732,1,-1.9474479346206632,1,1
zrlw,18,89,4.944444444444445,283.23595505617976,5222.931481481482,0.0,-0.0584930645733312,1,-9.096871365365974,1,-1.9920271751010168,1,1
