people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
DavidKorczynski,1,25,0,1,1,0,0,0,0.0,0.0,0.0920015383860887,1,0.000187747965227,1,-0.9957272427771626,1,1
Jamaika1,4,20,4,4,4,0,0,0,0.0,231.73888888888885,0.0125577514186496,1,-0.0032339711297666,1,-0.9968693591450792,1,1
JamieSlome,1,5,0,1,1,0,0,0,0.0,0.0,0.1345833869364013,1,0.000156951769143,1,-0.995709581064636,1,1
K-os,8,34,12,10,9,0,0,0,0.6666666666666666,11471.419047619043,-0.0184245906432249,1,0.3347351767717823,1,-1.0048935131903989,-1,1
RodolpheFouquet,1,2,0,1,1,0,0,0,0.0,0.0,0.1337709305722065,1,0.0001507660092432,1,-0.9957069299166332,1,1
adripo,1,1,1,1,1,0,0,0,1.0,0.0,0.1698897873149487,1,-0.0003754236029678,1,-1.0018524886303128,1,1
aseixasd,1,1,1,1,1,0,0,0,1.0,0.0,0.1698897873149487,1,-0.0003754236029678,1,-1.0018524886303128,1,1
aureliendavid,5,509,264,44,28,86,65,11,1.0,22696.583333333336,-0.2139679067676768,-1,-3.1246159859617992,-1,-0.9965308182949586,1,-1
cconcolato,10,13153,349,198,23,0,0,0,1.0,57880.41666666666,-0.2032490631243204,1,-3.028238901265465,1,-0.9957069299166332,1,1
gmaen,1,4,4,1,1,0,0,0,1.0,0.0,0.1555176898772279,1,0.0017008071990414,1,-1.001965498693168,1,1
gorinje,1,5,3,1,1,0,0,0,1.0,0.0,0.1634586708546156,1,0.0010806508161644,1,-1.001929870830088,1,1
hieule96,1,1,1,1,1,0,0,0,1.0,0.0,0.1698897873149487,1,-0.0003754236029678,1,-1.0018524886303128,1,1
m-i-dyer,1,0,1,1,1,0,0,0,0.0,0.0,0.125039815667755,1,0.0005166142731294,1,-0.995738435711728,1,1
pinotree,3,25,33,7,7,0,0,0,1.0,6.891666666666668,0.0358593986517119,1,0.0001877784556736,1,-1.0046683680128756,1,1
quietvoid,1,2,2,1,1,0,0,0,1.0,0.0,0.1664640560312669,1,0.0003790089654183,1,-1.0018902395786304,1,1
rbouqueau,30,420,333,57,40,0,0,0,0.9230769230769232,20221.763218390803,-0.151124881664011,1,-2.807645219850212,1,-1.0047770819770614,1,1
rwfpl,2,2,1,2,2,0,0,0,1.0,0.8333333333333334,0.1345801930346783,1,0.0188157717977857,1,-1.002232506874135,1,1
tdaede,3,322,3,20,6,0,0,0,1.0,45758.93333333333,-0.0272303000533526,1,-1.0968129524132273,1,-1.0041712920711197,1,1
xidoo123,2,4,3,2,2,0,0,0,0.0,12.333333333333334,0.0705787761497124,1,0.0134078664902315,1,-0.9961529843651696,1,1
