people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
Deegue,1,6,0,2,1,0,0,0,0.0,0.0,0.1754214497324308,1,-0.003714111359466,1,-0.995654000821555,1,1
GauthamBanasandra,1,9,6,3,2,0,0,0,0.0,0.0,0.1728551322546627,1,0.069664619591828,1,-0.99585666113823,1,1
Hexiaoqiao,7,466,191,106,7,189,189,100,0.0,41778.444444444445,-0.2397536222685338,-1,-12.069623642226192,-1,-5.60297620783224,1,-1
JohnZZGithub,1,39,20,3,1,0,0,0,0.0,0.0,0.1744709842414077,1,0.0284046756626157,1,-0.9948666217606452,1,1
LeonGao91,14,887,406,51,13,0,0,0,1.0,6354.028205128206,-0.0388656760440538,1,-11.1277185449687,-1,-11.900998470923913,-1,-1
Neilxzn,1,35,2,3,2,21,0,1,0.0,0.0,0.1197467478303576,1,-0.1975667037027655,1,-5.357797157417823,1,1
NickyYe,3,85,43,3,3,0,0,0,0.0,264.4916666666666,0.164520650032965,1,0.4690369805501095,1,-3.941811092863708,1,1
aDaemonThread,1,8,6,2,1,0,0,0,0.0,0.0,0.1747488204120993,1,0.0044242263451383,1,-0.9950496464067372,1,1
aajisaka,20,508,517,33,21,2,16,4,0.0,16974.77719298246,-0.0297063123005921,1,-6.535359431437296,1,-4.435401697595258,1,1
abhishekdas99,3,453,42,9,3,0,0,0,0.0,2420.4166666666665,0.1514435494223742,1,0.6724737553363038,1,-4.203878879023884,1,1
adoroszlai,1,17,4,5,2,14,1,2,0.0,0.0,0.1090409534943635,1,0.0062261051264105,1,-4.004083414373559,1,1
amahussein,16,536,543,39,19,7,3,3,0.0,21801.19,0.0282146044907364,1,-4.236414159276457,1,-2.670985458484207,1,1
ayushtkn,18,1113,303,197,22,42,25,4,0.0,19300.35490196078,-0.0924044320736149,1,-8.396650395268281,1,-3.3101503657325373,1,1
babsingh,1,3,3,2,1,0,0,0,0.0,0.0,0.1756196961733263,1,-3.057524642713361e-05,1,-0.9957785338273588,1,1
bibinchundatt,1,2,2,1,1,0,0,0,0.0,0.0,0.1725669488891456,1,-0.0062380626576103,1,-1.002163865376916,1,1
brfrn169,1,96,10,2,1,0,0,0,0.0,0.0,0.1739753822105319,1,0.0175514414219879,1,-0.9942691229423296,1,1
bshashikant,1,154,40,5,1,0,0,0,0.0,0.0,0.1603822426485455,1,0.0626412484611069,1,-1.0696614647524263,1,1
crossfire,1,41,37,2,1,0,0,0,0.0,0.0,0.172869691336341,1,0.0404348924787392,1,-0.985856571120426,1,1
dhirajh,2,71,7,5,2,0,0,0,0.0,53158.0,0.147652140365104,1,0.1777236907675483,1,-5.842844694881004,1,1
ericbadger,10,429,248,29,12,11,1,2,0.0,31380.38703703704,0.0660813122577866,1,-3.0572429716713145e-05,1,-1.8058832678283203,1,1
erichadoop,5,2713,1293,75,9,57,0,2,0.0,23378.02083333333,-0.107545077811424,1,-7.430849986707363,1,-6.368016605519413,1,1
ferhui,2,353,4,10,2,0,0,0,0.0,55837.25,0.1364119608939001,1,0.000186541210871,1,-5.480497032796,1,1
