people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
9uapaw,11,0.0,0.1818181818181818,39855.08636363637,16980.895,-0.0183585143060495,1,-0.0973481843292702,1,-3.737447156913927,1,1
ChaosJu,1,0.0,0.0,119.08333333333331,0.0,0.1595947021551728,1,-0.0314483673898529,1,-0.9753933915908106,1,1
FliegenKLATSCH,1,0.0,0.0,33068.03333333333,0.0,0.1531694789529567,1,0.6047160867236663,1,-2.037836679701006,1,1
FrankinRUC,1,0.0,0.0,10049.75,0.0,0.1629728460875353,1,0.2600516491297497,1,-1.019997583357406,1,1
GauthamBanasandra,34,0.5882352941176471,0.0,5916.241176470588,17375.699494949495,-0.0114963239547258,1,0.9554469193807762,1,-1.5318139092181926,1,1
GuoPhilipse,4,0.0,0.0,2172.2833333333333,9610.58888888889,0.1252355560467468,1,0.2224991437936907,1,-1.0927780396878228,1,1
HeartSaVioR,1,0.0,0.0,6814.05,0.0,0.1642173468251597,1,0.1743480749603954,1,-0.9837038000944808,1,1
Hexiaoqiao,44,0.7727272727272727,0.0909090909090909,24239.09772727273,15818.822480620152,-0.0028234671550965,1,0.993203909858785,1,-1.3656877728914598,1,1
Jing9,7,1.0,0.1428571428571428,33397.74047619048,59709.68055555556,0.0389734756938233,1,0.5474209985185006,1,-1.0243642553571837,1,1
KevinWikant,6,0.0,0.0,6089.311111111111,20694.68666666667,0.1152482569476859,1,0.4589617521326126,1,-1.8327949072299257,1,1
LeonGao91,1,0.0,0.0,30883.5,0.0,0.1531745930406768,1,0.5921341390166859,1,-1.9307632437783,1,1
OceanSunzh,1,0.0,0.0,0.5833333333333334,0.0,0.1608785813682499,1,-0.0354327187375318,1,-0.9763635113529696,1,1
PrabhuJoseph,9,1.0,0.2222222222222222,11467.787037037036,64144.80833333333,0.0217584620931143,1,-0.2124701687800012,1,-1.1546896414171572,1,1
Samrat002,2,0.0,0.0,5115.183333333333,13624.966666666667,0.1450063579568579,1,0.3480858193352389,1,-1.2529727121762904,1,1
TaoYang526,2,1.0,0.0,16010.133333333337,12.7,0.1102328374188288,1,-0.0619410915734874,1,-0.979114899692516,1,1
ZanderXu,2,0.0,0.0,11318.016666666666,33603.2,0.1230860800299215,1,0.6202838997329074,1,-2.230355669496888,1,1
aajisaka,172,0.9476744186046512,0.0697674418604651,18744.474321705427,4347.286842105264,-0.1048760337916311,-1,-13.89870000331939,1,-2.872629935199556,1,1
abhishekdas99,1,0.0,0.0,119451.45,0.0,0.0922608537250655,1,-1.955502219662268,1,-4.0728680595828015,1,1
abstractdog,1,0.0,1.0,5725.616666666667,0.0,-0.1030119306403651,1,-15.84811462934779,-1,-24.77562806021397,-1,-1
adamantal,1,1.0,0.0,4141.933333333333,0.0,0.1106563568727298,1,-0.2560261229602574,1,-0.9816572278032356,1,1
ahmarsuhail,3,0.0,0.0,33159.23333333333,14314.658333333333,0.1221416304130459,1,0.8523038526927529,1,-1.9812509632667912,1,1
amahussein,8,0.0,0.125,55484.99791666667,47637.83571428572,-0.0088234942822532,1,0.4325194225780144,1,-2.34872578803159,1,1
anmolanmol1234,2,0.0,0.0,226.1,142855.0,0.0579999012314185,1,-2.9916959479842973,1,-6.206942857767442,1,1
antnkutuzov,1,0.0,0.0,304978.1666666667,0.0,-0.0289189209745648,1,-14.050060436210227,-1,-6.495207661709754,1,1
arjun4084346,1,0.0,0.0,9760.5,0.0,0.1620746276321119,1,0.2527588131779197,1,-1.0089292118025308,1,1
arp7,1,1.0,0.0,8793.6,0.0,0.1149650160280381,1,-0.1827621548957161,1,-0.980904556768229,1,1
arturobernalg,2,0.0,0.0,469.9916666666667,387.3666666666667,0.1403021636941382,1,0.0002510191886493,1,-0.9766772881486592,1,1
ashutoshcipher,6,0.0,0.0,6659.297222222221,47729.386666666665,0.0809315918402816,1,0.4393732319452645,1,-3.3325422885176152,1,1
ayushtkn,76,0.9473684210526316,0.1447368421052631,14579.707675438598,9081.850888888886,-0.0360871330799081,1,-2.8916833212288324,1,-1.6907985915756345,1,1
belugabehr,2,0.0,0.0,111974.43333333332,247515.95,-0.0592767442520582,1,-9.859087697123105,1,-3.592652025173919,1,1
bgaborg,1,1.0,1.0,154.63333333333333,0.0,-0.1438314001517082,-1,-15.89187044048676,-1,-3.159792209023807,1,-1
bharatviswa504,1,1.0,0.0,26646.316666666666,0.0,0.1006430009150418,1,-0.0988695588955614,1,-0.9788200278334476,1,1
bibinchundatt,5,1.0,0.2,55864.47666666667,120201.48333333337,-0.0433150728606496,1,-2.04612935599474,1,-1.3877121475186909,1,1
bogthe,1,0.0,0.0,17169.716666666667,0.0,0.155828565488814,1,0.4165681021249625,1,-1.3540796452642945,1,1
bolerio,1,0.0,0.0,1.4166666666666667,0.0,0.1608785813682499,1,-0.0354046582379012,1,-0.9763518927411776,1,1
brahmareddybattula,5,1.0,0.2,3703.076666666667,99028.275,0.0136278773980719,1,-0.9196756562192157,1,-1.2313541620359956,1,1
