people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
Jing9,1,5,5.0,94.8,15192.7,0.0,0.09120349080762,1,0.1208387656917315,1,-1.007293919426125,1,1
LeonGao91,1,5,5.0,35.8,12133.216666666667,0.0,0.0718278344706803,1,-7.20450326954225e-05,1,-1.0020467258939223,1,1
ThomasMarquardt,1,15,15.0,158.4,16113.116666666669,0.0,0.0261629673301083,1,-0.0002961579029756,1,-1.0132936870264189,1,1
aajisaka,1,1,1.0,198.0,102993.33333333331,0.5,-0.0670499610843227,1,0.0005240317568282,1,-0.9864408720431694,1,1
dannycjones,1,35,35.0,131.14285714285714,659357.0166666667,0.0,-0.1340434534121023,-1,-0.1907870954375303,-1,-0.9864408720431692,1,-1
ferhui,1,4,4.0,38.0,100116.18333333332,0.5,0.0222022767979399,1,-0.0001179947596192,1,-0.9889202194024186,1,1
mehakmeet,2,18,9.0,51.5,353241.9916666667,0.0,-0.0101430478127131,1,-5.063137873406731e-07,1,-0.996064894324158,1,1
mukund-thakur,2,16,8.0,42.9375,355941.31666666665,0.3333333333333333,-0.0326487005491586,1,-7.242750444058643e-06,1,-1.0020428569396291,1,1
runitao,1,6,6.0,62.66666666666666,102182.2,0.0769230769230769,0.0846775830029008,1,0.2420479738102299,1,-1.0109039880466266,1,1
steveloughran,2,33,16.5,127.6060606060606,37983.98333333334,0.0,-0.0438190291324626,1,-5.05376368753474e-07,1,-0.995727059301618,1,1
tasanuma,2,5,2.5,104.6,77549.86666666667,0.25,-0.0355481402251793,1,-2.957877799425468e-05,1,-0.9883589978593448,1,1
touchida,1,12,12.0,98.75,102312.3,0.0,0.0787992044169382,1,0.2127637195009741,1,-1.0239145540225658,-1,1
