people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
AlexAT,3,22031,7485,302,22,53,13,3,0.0,63271.333333333336,-0.0415846741149136,1,-2.550754493318531,1,-1.831250537960059,1,1
DRuggeri,1,1,0,1,1,0,0,0,0.0,0.0,0.1747017828643527,1,-2.8941793850378872e-08,1,-0.9969009688138654,1,1
DamianFekete,1,20,16,1,1,0,0,0,0.0,0.0,0.1665609127714459,1,0.0007520964785499,1,-0.996906064982587,1,1
I-Cat,2,38359,38319,301,44,171,171,35,0.0,7652.333333333333,-0.2212710168315451,-1,-4.789023579887536,-1,-2.842366054530319,-1,-1
PooiaFerdowsi,1,3,3,1,1,0,0,0,0.0,0.0,0.1717102932351729,1,9.767941694516225e-05,1,-0.9969016896241348,1,1
andrii-suse,7,679,35,30,22,80,0,3,0.0,475.7944444444445,0.0732590927386988,1,-0.4876871277321601,1,-0.9973784326756674,1,1
atlesn,12,22438,7960,324,35,40,13,4,0.0,14190.107575757576,-0.0091570122396917,1,-1.7729483814797034,1,-1.60703793281064,1,1
byshen,3,13,3,3,3,0,0,0,0.0,7519.741666666667,0.1489873157235106,1,0.1858255610799606,1,-0.9903410689810316,1,1
charanreddybr05,1,1,0,1,1,0,0,0,0.0,0.0,0.1747017828643527,1,-2.8941793850378872e-08,1,-0.9969009688138654,1,1
covener,28,217,169,28,28,26,12,3,0.0,14555.620987654318,0.0670982706474538,1,0.6048685000667913,1,-1.0016140290431808,1,1
cztk,4,9435,5476,266,43,150,60,15,0.0,51061.52777777778,-0.0483350021859135,1,-3.282988090063176,1,-1.9079848236912136,1,1
dimitry-unified-streaming,2,51,6,3,3,0,0,0,0.0,264.93333333333334,0.1647267138607391,1,0.0309310163306397,1,-0.9972760238827648,1,1
gstrauss,1,1,1,1,1,0,0,0,0.0,0.0,0.1743814615388006,1,1.376438128986024e-05,1,-0.9969011063139592,1,1
icing,108,21840,17982,574,192,97,11,6,0.0,6418.73800623053,-0.1410390099249323,1,-3.963274928015945,1,-2.216369423820619,1,1
jdachman,1,1,0,1,1,0,0,0,0.0,0.0,0.1747017828643527,1,-2.8941793850378872e-08,1,-0.9969009688138654,1,1
jenny-cheung,1,2,0,1,1,0,0,0,0.0,0.0,0.1733653331168255,1,2.8164648061768105e-05,1,-0.9969011232278058,1,1
jfclere,23,1278,333,55,33,28,2,3,0.0,34099.98333333333,0.0749983008733298,1,0.2012885489451727,1,-0.9878895473727424,1,1
jimjag,13,142,164,30,26,10,4,2,0.0,44409.444444444445,0.0805031040390895,1,-0.6114355379719321,1,-1.0459427142840363,1,1
kokke,2,2,2,2,2,0,0,0,0.0,1.0333333333333334,0.1638547545082435,1,0.012564823870691,1,-0.9970866081985562,1,1
mathiasbynens,1,2,2,1,1,0,0,0,0.0,0.0,0.1730436957885039,1,5.573659334334735e-05,1,-0.9969013980986312,1,1
minfrin,51,3797,2128,157,102,88,1,2,0.0,13450.787666666669,0.0057500311545194,1,-0.6345312041176179,1,-1.258683312884895,1,1
ngrbalu,1,1,0,1,1,0,0,0,0.0,0.0,0.1747017828643527,1,-2.8941793850378872e-08,1,-0.9969009688138654,1,1
nilgun,5,8124,7963,86,16,0,0,0,0.0,82977.11666666667,-0.0441844929206816,1,-2.991037496867597,1,-1.821511080103047,1,1
notroj,102,2540,3547,165,141,122,1829,18,0.0,9309.656435643565,-0.1506075330097714,1,-4.529113994870015,1,-2.3868235575264296,1,1
rbowen,2,1187,1054,301,7,1,1,1,0.0,11.266666666666667,0.0525579013496133,1,-0.8865737896658565,1,-1.036628145790124,1,1
rpluem,68,713,382,99,87,15,4,2,0.0,13024.292786069647,0.0381123388198696,1,-4.312096280045808e-08,1,-0.9988747354531344,1,1
tropikhajma,1,2,2,1,1,0,0,0,0.0,0.0,0.1730436957885039,1,5.573659334334735e-05,1,-0.9969013980986312,1,1
uhliarik,2,79,40,5,4,0,0,0,0.0,42.3,0.1453937522029706,1,0.0387551348472587,1,-0.9976416701890282,1,1
ylavic,266,9713,6430,454,349,130,35,11,0.0,3059.439937106918,-0.16040775133432,-1,-4.565564624310927,-1,-2.720606804835492,-1,-1
zbynek,1,1,0,1,1,0,0,0,0.0,0.0,0.1747017828643527,1,-2.8941793850378872e-08,1,-0.9969009688138654,1,1
zhou1615,6,47,6,10,6,0,0,0,0.0,3314.2700000000004,0.1342322533887794,1,0.1685724385328715,1,-0.9885136680125228,1,1
