people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
MarcusSaviour,1,3,3.0,4.0,12599.883333333331,0.4,0.0195516874169833,1,-0.0003197438959958,1,-0.993752441617102,1,1
atlesn,1,1,1.0,56.0,156026.01666666666,0.0,-0.0035881888925628,1,-0.1633924551305727,1,-0.9863338499072168,1,1
bigio,3,10,3.333333333333333,153.3,23952.65555555556,0.6666666666666666,-0.0442320019064625,1,-0.1189158716086253,1,-0.9985066610991976,1,1
byshen,1,1,1.0,19.0,14935.916666666666,0.0,0.0911557916968749,1,0.0017763703661293,1,-0.9954754461144713,1,1
icing,10,114,11.4,123.92105263157896,24232.175,0.0,-0.0895355652479159,1,-0.0354863478528757,1,-0.9863338499072164,1,1
jfclere,1,2,2.0,16.0,921.9166666666666,0.0,0.1102051340500616,1,-0.0003197488653161,1,-0.9985374061822808,1,1
michael-o,1,6,6.0,39.833333333333336,1960.0333333333333,0.0,0.0420557190640586,1,-0.000242102069986,1,-1.0146305328440826,1,1
notroj,4,7,1.75,94.57142857142856,3672.808333333333,0.0,0.0508053138233785,1,0.0004452711132418,1,-1.014814442455754,1,1
rpluem,10,55,5.5,162.25454545454545,4880.321666666665,0.0,-0.0016206165169365,1,2.4079383805997168e-05,1,-1.0080127959567222,1,1
tititiou36,1,2,2.0,58.0,29257.7,0.0,0.1151795615232507,1,0.1804880785616842,1,-1.0038071272666742,1,1
ylavic,12,72,6.0,176.90277777777777,30719.99861111111,0.0465116279069767,-0.0569529930980321,1,0.0004122408413889,1,-1.0006580140817822,1,1
