people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
Tieske,9,31,14,10,10,0,0,0,0.6666666666666666,22802.285416666666,0.0160995026353067,1,0.4291265347175219,1,-1.000455958758736,1,1
TomasKorbar,1,2,2,1,1,0,0,0,1.0,0.0,0.1674468724153747,1,-8.280882646261034e-09,1,-1.0007591100577065,1,1
arichardson,1,5,1,1,1,0,0,0,1.0,0.0,0.1697230879446569,1,-0.0001026629518694,1,-1.0007579337100805,1,1
carlo-bramini,4,18,10,6,6,0,0,0,1.0,146.69444444444443,0.1494911074769923,1,0.003898448491121,1,-1.0010470441365902,1,1
corona10,1,12,12,5,1,0,0,0,1.0,0.0,0.1570623921424841,1,0.0012592869748697,1,-1.0008669052351735,1,1
czentgr,1,1,1,1,1,0,0,0,1.0,0.0,0.16399755574266,1,-0.0001390425640135,1,-1.0007530981582256,1,1
dependabot[bot],7,40,40,40,7,40,40,40,1.0,52079.98888888889,-0.1358477752817958,1,-2.1567456249020216,1,-1.002135751641801,-1,1
dfaure-kdab,2,66,64,2,2,0,0,0,0.5,40522.11666666667,0.0393914153339874,1,-0.6600049460261133,1,-0.9984968592191648,1,1
dg0yt,3,11,19,3,3,0,0,0,0.5,23748.6,0.1018435044483858,1,0.4356924880561035,1,-0.9995718222295592,1,1
ferivoz,6,142,75,8,7,0,0,0,1.0,8349.803333333333,0.0392243250587205,1,0.1000002955328405,1,-1.001564437648358,1,1
hartwork,240,5984,1505,605,458,862,312,91,0.975,2509.42140864714,-0.3420662683223586,-1,-4.118287874316398,-1,-0.9976747922741616,1,-1
jonringer,1,53,0,2,2,23,0,1,0.0,0.0,0.0085080334030023,1,-0.0392794063947636,1,-0.9977495584586068,1,1
noloader,4,4,4,4,4,0,0,0,1.0,29.27777777777777,0.1538802861195399,1,0.0006159704792008,1,-1.0009450640317892,1,1
nschonni,1,2,2,1,1,0,0,0,1.0,0.0,0.1674468724153747,1,-8.280882646261034e-09,1,-1.0007591100577065,1,1
orbitcowboy,5,10,9,6,5,0,0,0,1.0,7466.945833333333,0.1355091550857932,1,0.104027558259081,1,-1.0010213090154076,1,1
petitlapin,1,36,8,4,4,0,0,0,1.0,0.0,0.1582965264355386,1,0.0009036654105969,1,-1.000912250238139,1,1
pkasting,3,106,60,14,8,0,0,0,0.0,1937.675,0.0239068876839146,1,6.40252055816859e-08,1,-0.9981127365021512,1,1
rillig,1,198,274,1,1,0,0,0,0.0,0.0,-0.0566929863112324,1,-0.122930210050189,1,-0.9987770233065396,1,1
sebres,3,61,12,4,4,0,0,0,0.0,2043.9916666666663,0.1081950008228027,1,-0.0028364207395332,1,-0.9976747922741616,1,1
