people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
AaronTheBaker,1,56,11,2,2,0,0,0,0.0,0.0,0.1707981726596122,1,-0.0173089641927077,1,-0.9958344418366286,1,1
Akshay-Gupta-19,15,657,219,141,60,70,70,49,0.4444444444444444,8503.69642857143,0.1374310224522468,1,3.018147481966711,1,-1.1422540694771208,1,1
BradWalker,72,70063,50893,2151,140,2904,4882,228,0.7619047619047619,16295.148591549296,0.0391482475948259,1,0.9633067197958916,1,-1.3598327729571966,1,1
DevCharly,47,3175,645,220,150,239,106,82,0.9090909090909092,16956.367391304357,0.1354207073544078,1,1.241975505246053,1,-0.9662814805992628,1,1
GaneshrajS30,1,7,6,3,2,2,1,2,0.0,0.0,0.1701414057567509,1,-0.0154344693162293,1,-0.9958345709833448,1,1
HanSolo,2,4,6,2,2,0,0,0,1.0,0.0,0.1789731313597691,1,-0.0422751846647138,1,-0.9919129324393524,1,1
KacerCZ,45,2915,560,143,68,1772,218,33,0.8421052631578947,17817.932575757575,0.1328932515733475,1,1.876522664124721,1,-1.0103484896387065,1,1
MKuettner,7,4338,7711,154,33,1544,797,33,0.75,35300.90833333333,0.1263955485679065,1,2.4556276801519346,1,-1.0504926593714417,1,1
MartinBalin,31,538,109,83,50,24,23,18,0.8095238095238095,25635.792777777773,0.1563037941084404,1,2.061066712431252,1,-1.0335570529800415,1,1
MegJayan,16,238408,102681,441,41,1181,620,32,1.0,7670.98888888889,0.0776315263467574,1,0.2809203672600802,1,-1.0032346394798346,1,1
Ondrej-Douda,2,104,2,2,2,0,0,0,0.5,59966.35,0.1651880513253503,1,2.762222288110003,1,-1.1154462618142311,1,1
YunLemon,1,18,18,1,1,18,18,1,0.0,0.0,0.1580091089478603,1,-0.0165830476030564,1,-0.9958320607433512,1,1
abourree,2,102,2,4,2,0,0,0,1.0,0.0,0.1785359335962479,1,-0.0415106736719508,1,-0.9919193717450844,1,1
aleferri,2,360452,140631,301,22,1253,643,30,0.0,346136.88333333336,-0.0416183738415497,1,-8.922324494127146,1,-2.0959762829156867,1,1
anthonyvdotbe,3,51,36,3,3,0,0,0,1.0,0.0,0.1794288099384524,1,-0.0373684974784112,1,-0.9921424407478528,1,1
asbachb,14,360,58,27,17,5,3,4,0.6666666666666666,9539.207692307691,0.1738661170091371,1,2.6906728773459854,1,-1.077074033630809,1,1
cahityilmaz,2,5652,248,7,7,6,3,4,0.0,1308.3,0.1593961402008349,1,3.4392390098503256e-05,1,-0.995886575510474,1,1
containerAnalyzer,3,7,3,3,3,0,0,0,0.0,5.533333333333333,0.1709493474575754,1,-0.0145960619316305,1,-0.9958540138010974,1,1
dbalek,435,607529,261107,5470,1053,19172,6225,1068,0.917910447761194,1964.868125960061,-0.109325184112755,1,-13.238908748690632,1,-2.458555086972374,1,1
dependabot[bot],2,2,2,2,2,2,2,2,0.0,0.5166666666666667,0.1690708405947052,1,-0.0146520020555058,1,-0.9958433101362756,1,1
digiovinazzo,7,629,38,27,14,57,2,9,0.3333333333333333,16255.838888888888,0.1580557794528267,1,2.673133626206372,1,-1.1223789449342303,1,1
dukescript,21,61849,17391,1183,141,7275,1023,251,0.0,4819.106666666667,0.0116346455295658,1,-0.832759783051749,1,-1.008669746224618,1,1
dyorgio,2,2,0,2,2,0,0,0,1.0,0.0,0.1789731313597691,1,-0.0422834850934918,1,-0.9919129353408688,1,1
ebarboni,153,88143,34521,2118,261,869,674,172,0.90625,3978.369407894739,0.0743821072954065,1,-0.0423897579071841,1,-1.4139208013559377,1,1
ebresie,27,3025,2560,51,33,1523,1524,20,0.5,16607.718589743592,0.1066478833391761,1,3.015162264458201,1,-1.1134008535246591,1,1
eirikbakke,33,5199,1468,184,43,125,47,28,0.8571428571428571,18923.85520833333,0.159153697387726,1,1.7384353145322071,1,-1.0035870177173465,1,1
emilianbold,26,10058,64,160,68,786,42,36,0.8181818181818182,5749.491333333333,0.1589398250979273,1,2.034513684224919,1,-1.0284469959062843,1,1
entlicher,175,43811,11024,1264,316,1556,453,152,0.8811881188118812,4172.617816091954,0.0823281560525232,1,0.0422032718134168,1,-1.3719118155468557,1,1
errael,2,72,28,5,4,36,15,1,1.0,3731.1666666666665,0.1710141447657412,1,-0.018032768392036,1,-0.9920870842173578,1,1
geertjanw,128,109622,23590,2125,359,13328,877,284,0.6111111111111112,1180.6011811023627,-0.0018315751709196,1,0.2615790014138852,1,-1.3903785323459616,1,1
gitdode,3,33,131,14,6,13,15,6,0.0,13546.925,0.1568599651244309,1,0.0575645810472273,1,-0.9960248916192518,1,1
hectorespert,4,115,45,19,7,19,9,4,0.5,118034.09444444445,0.1409400346872241,1,1.8085883874877384,1,-1.161412880350558,1,1
jGauravGupta,72,318860,145267,1383,180,1948,631,299,0.7391304347826086,9946.375352112673,0.0506610565428625,1,1.9447405161042115,1,-1.2348992031587271,1,1
jgneff,3,21,13,3,3,0,0,0,0.6666666666666666,52740.71666666667,0.1746761323258354,1,2.539776018358868,1,-1.080429489466498,1,1
jherkel,2,3,1,2,2,0,0,0,1.0,58442.96666666667,0.1681292732687491,1,-0.163439670726337,1,-0.996128079939448,1,1
jhorvath,59,64721,45623,1338,208,4150,5079,240,0.8518518518518519,3650.1706896551727,0.0450799292029787,1,0.6199581669202345,1,-1.341022195842309,1,1
jisedlac,6,835,16,12,9,120,0,3,0.8,18080.376666666667,0.1758377029807309,1,2.0001062791389472,1,-1.040120750685674,1,1
jjazzboss,1,199,27,2,1,0,0,0,1.0,0.0,0.1762140394612376,1,-0.0468176572723599,1,-0.9922854754458948,1,1
jlahoda,265,6958084,1636477,10099,838,91168,17317,1792,0.8,6466.657260101013,-0.3064852375245396,-1,-19.294077661508023,-1,-4.134756732760914,-1,-1
joestr,1,5,2,1,1,0,0,0,0.0,0.0,0.1712878421944393,1,-0.0182945824683855,1,-0.9958318191430722,1,1
jtulach,2,152,60,10,6,4,4,3,1.0,6531.316666666667,0.1758459885321335,1,-6.894264046053422e-05,1,-0.9923286911933202,1,1
juneau001,22,555027,230759,2532,221,34642,1429,515,0.75,37623.2,-0.0665701232114851,1,-3.8834591175177167,1,-1.989102653636528,1,1
junichi11,175,1094468,845021,5344,652,532,76,106,0.9516129032258064,5697.613122605366,-0.1015290025027475,1,-10.122289009205302,1,-2.3199680813267505,1,1
lbownik,12,4812,1909,26,13,20,0,1,0.3,12432.569696969696,0.1469009394344007,1,2.5265008280495103,1,-1.0238038072955395,1,1
lbruun,9,566,117,24,12,329,0,1,0.75,12143.504166666668,0.1734605726790337,1,2.312703581768883,1,-1.08583842622485,1,1
lhochet,1,8,14,4,1,0,0,0,0.0,0.0,0.1695529475056178,1,-0.01775755365286,1,-0.995832048825854,1,1
lkishalmi,175,15046,15828,835,358,1214,1004,160,0.8585858585858586,4331.8549808429125,0.0791399884816858,1,3.442557757793452e-05,1,-1.3615754801077278,1,1
lucian-sbera,2,501820,501820,600,58,27398,27455,144,0.0,7.2,-0.1820501720362668,-1,-16.205410831243555,-1,-3.509003758765416,-1,-1
m-sandeep98,2,652,2,6,2,0,0,0,1.0,0.0,0.1765470084431364,1,-0.0406779390313936,1,-0.9919258894228647,1,1
maerevoet-wim,1,1,1,1,1,0,0,0,0.0,0.0,0.1716250518593693,1,-0.0182956423976463,1,-0.995831819180032,1,1
matteobaccan,1,29,29,25,2,2,2,2,1.0,0.0,0.1720912289277052,1,-0.0332330619162739,1,-0.9918955513896132,1,1
matthiasblaesing,335,795419,417472,4601,881,12559,8062,918,0.9,3005.339720558884,-0.0834059497409028,1,-11.032613523983256,1,-2.208133713634325,1,1
mbien,295,21439,19470,3135,494,2300,3103,471,0.9158878504672896,1915.139229024944,-0.0081817554918235,1,-4.776944875224181,1,-1.9775844142552037,1,1
mcdonnell-john,6,143,49,14,10,36,10,4,1.0,4135.56,0.1664861230171271,1,0.0117836655631222,1,-0.9937758187004496,1,1
