people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
BradWalker,25,0.8,0.0,21129.064,20659.73541666668,0.0661869588784265,1,0.9711793492005754,1,-0.9710911822557404,1,1
JaroslavTulach,56,0.8928571428571429,1.2678571428571428,23405.65863095238,11648.46515151515,0.0510024153139295,1,0.6017480271128992,1,-1.0270547468608524,1,1
KacerCZ,2,0.0,0.5,30511.25,76962.01666666666,-0.0084598070162688,1,0.1602503526391938,1,-1.2354129304266546,1,1
MartinBalin,4,0.5,1.0,10071.7875,202551.9222222222,-0.0057926351505361,1,0.1372959852120816,1,-1.080949280237291,1,1
asbachb,1,0.0,3.0,237904.36666666667,0.0,-0.1286373583431987,-1,-2.905533136227274,1,-1.4004497455697495,1,1
asfgit,1,1.0,6.0,436251.15,0.0,-0.2101364331851418,-1,-5.845821231718697,-1,-2.133806081297387,-1,-1
dbalek,77,1.0,0.922077922077922,6376.203896103896,10149.240789473684,0.0470678846993526,1,-0.1412269779993424,1,-1.0549920527206758,1,1
ebarboni,91,0.945054945054945,0.7692307692307693,14619.461904761907,5902.162777777776,0.0523572131503504,1,-0.6059651738510663,1,-1.1333273892332825,1,1
ebresie,2,0.0,1.0,100689.725,21401.15,-0.016528421872736,1,-0.1184817224578411,1,-1.2704457677768497,1,1
eirikbakke,10,1.0,0.0,34137.57,64768.45,0.0874938531078868,1,0.0987938244760613,1,-0.9636540764382032,1,1
entlicher,39,0.9743589743589745,0.8205128205128205,4823.281623931624,19099.98114035088,0.081886179188604,1,0.7278811799255234,1,-1.0060436853855266,1,1
geertjanw,55,0.9818181818181818,0.6909090909090909,15861.816969696973,13404.844444444445,0.0837605779325081,1,0.540005254366533,1,-1.0316782323670786,1,1
hectorespert,1,0.0,0.0,867.3833333333333,0.0,0.0845072280744819,1,-0.0552658351827313,1,-1.2618742529209557,1,1
jGauravGupta,3,1.0,0.0,48624.33888888889,140037.55000000002,0.0109003628141604,1,-0.451417272966629,1,-0.9721686366136107,1,1
jhorvath,8,0.75,0.25,8734.216666666667,20040.23809523809,0.0904144730902759,1,0.8494975847809059,1,-0.9620780396756472,1,1
jlahoda,9,0.7777777777777778,0.3333333333333333,53372.56481481482,89455.07708333334,0.0406132729843869,1,0.7858001909850234,1,-0.9620555311350656,1,1
jtulach,3,1.0,1.3333333333333333,3815.655555555556,35681.35833333333,0.065285963387771,1,-0.0843570973159062,1,-0.9607519938296424,1,1
junichi11,13,1.0,0.2307692307692307,6340.838461538461,55109.61944444445,0.0935088077668807,1,0.2735225286277698,1,-0.9650860169263769,1,1
lbownik,4,0.0,0.0,5013.566666666667,22109.13333333333,0.0217736702203008,1,0.0351412308001499,1,-1.2578006286687586,1,1
lhochet,1,0.0,0.0,133.31666666666666,0.0,0.0792268021729055,1,-0.0583122470637622,1,-1.261945160736608,1,1
lkishalmi,71,0.9154929577464788,0.7605633802816901,16951.64788732394,10765.374523809527,0.0777625602587325,1,0.2557454186183916,1,-1.0165051135544816,1,1
matthiasblaesing,94,0.9148936170212766,0.2446808510638297,21685.6664893617,8391.62311827957,0.0348435648929928,1,-0.7817554705214551,1,-1.1541636567022562,1,1
mbien,39,0.9230769230769232,0.8461538461538461,28630.80384615385,14229.198245614032,0.0796537216271537,1,0.893197849072866,1,-1.00605244504141,1,1
mcdonnell-john,1,1.0,2.0,25768.783333333333,0.0,0.0372530307213784,1,-0.5669232856488327,1,-0.972592048825888,1,1
mishrasandeep,2,0.5,0.0,29359.033333333333,551260.3166666667,-0.098489206052007,1,-4.315815416756518,-1,-1.5025764195945075,-1,-1
mklaehn,7,0.4285714285714285,0.0,696.1595238095239,1678.841666666667,0.0356116765577914,1,0.8234471161961121,1,-1.0819113506563751,1,1
moacirrf,2,0.0,1.0,9025.591666666667,292507.5833333333,-0.0576419126647288,1,-1.6950390789031973,1,-1.298103369742728,1,1
neilcsmith-net,92,0.9130434782608696,0.7282608695652174,12609.95054347826,7180.687545787547,0.0592254825561974,1,-0.6264479831200767,1,-1.1399502995084414,1,1
nigjo,1,0.0,0.0,5842.5,0.0,0.0846536985771261,1,-0.0363218686246327,1,-1.261451779327702,1,1
oyarzun,2,1.0,0.5,19548.025,36222.583333333336,0.1055381902872193,1,-1.4744210297124029e-08,1,-0.9592986450659996,1,1
pepness,10,1.0,0.0,43828.738333333335,57092.69814814815,0.0771063039696665,1,0.0886990823863778,1,-0.9636742121140908,1,1
ppisl,4,1.0,0.0,8311.225,9594.95,0.1015348690754617,1,-0.1438455229369584,1,-0.9604537059896654,1,1
sdedic,107,0.9439252336448598,0.6448598130841121,11413.942990654208,7251.367924528303,0.0180297907393467,1,-1.4451744580715653,1,-1.2761695827212665,1,1
ses1112,1,0.0,0.0,49960.316666666666,0.0,0.0289292190742592,1,3.3165744817154064e-08,1,-1.2620752254603675,1,1
singh-akhilesh,10,0.9,0.4,78915.04500000001,65268.80925925926,0.0235132023820267,1,0.4330894896511603,1,-0.963692118139766,1,1
timfel,1,0.0,0.0,5046.416666666667,0.0,0.0869032148919606,1,-0.0391532209067335,1,-1.2615110423415092,1,1
tmysik,28,1.0,0.1428571428571428,4539.082738095239,27737.19259259259,0.0782124249376448,1,0.4941810158134085,1,-0.9738344597423892,1,1
vieiro,40,0.625,0.225,5516.412916666666,15006.929059829064,0.0264575558358796,1,0.942515294008194,1,-0.9628051778801668,1,1
