people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
4e6,1,1,1.0,331.0,15.083333333333334,0.0,0.1052414622579391,1,-1.403198215899014,1,-1.3252798404796666,1,1
BradWalker,6,14,2.333333333333333,131.0,22398.875,0.1111111111111111,0.1312990479666739,1,2.090261402425666,1,-0.9631709703127438,1,1
DevCharly,3,3,1.0,170.66666666666666,20411.805555555555,0.5384615384615384,0.0630595269896675,1,-1.1005828661637516,1,-1.3979380847100675,1,1
George-Devel,1,1,1.0,289.0,56510.1,0.0,0.1017039629750373,1,-0.4066833333334063,1,-1.2715289086585804,1,1
JaroslavTulach,147,638,4.340136054421769,152.91222570532915,3974.293310657597,0.2824207492795389,-0.173153407623124,-1,-8.203771891291929,-1,-3.54139971448271,-1,-1
KacerCZ,11,23,2.090909090909091,95.8695652173913,5801.171212121212,0.1176470588235294,0.1081496168500065,1,1.6916152629238077,1,-0.9813706090907124,1,1
MKuettner,1,1,1.0,313.0,10169.733333333334,0.0,0.1148030916711155,1,-0.921153490794678,1,-1.2506628448271546,1,1
MartinBalin,4,11,2.75,40.63636363636363,3674.245833333333,0.7083333333333334,0.0295530475462015,1,-3.1764923506603235,1,-1.6180710846768,1,1
MegJayan,1,7,7.0,73.0,11610.016666666666,0.0,0.0825928251952937,1,-0.9116532138972442,1,-1.2112094433719225,1,1
asbachb,3,11,3.6666666666666665,156.36363636363637,9091.68888888889,0.0,0.1473303068512603,1,1.1492950007827467,1,-0.9706772829746706,1,1
aubi,1,1,1.0,28.0,93024.81666666668,1.0,-0.028678457431147,1,-6.008203482935087,1,-1.955397785421385,1,1
bdrx312,1,1,1.0,58.0,18285.33333333333,0.0,0.1317715486146803,1,0.3108970575847873,1,-0.9705779044956224,1,1
dbalek,60,221,3.683333333333333,82.56561085972851,10313.28527777778,0.2967479674796748,-0.0154437943366072,1,-2.9948427688915062,1,-1.5902474203149324,1,1
dinix2008,1,1,1.0,168.0,185286.13333333333,0.0,0.0560787588485907,1,-3.3020492120117906,1,-1.9715696247919583,1,1
ebarboni,8,13,1.625,99.76923076923076,14049.079166666668,0.4166666666666667,0.0949273762813194,1,0.2046116765886267,1,-1.2294771293277498,1,1
ebresie,2,40,20.0,421.55,11379.741666666669,0.0,-0.1300310238618781,-1,-8.997313708835781,-1,-3.5834799838840468,-1,-1
eirikbakke,13,66,5.076923076923077,208.77272727272728,46256.87051282051,0.1538461538461538,0.0487197009822394,1,1.3062786423203008,1,-1.134083194408087,1,1
emilianbold,1,4,4.0,93.5,906.9333333333332,0.0,0.1396973607591012,1,0.6902208887679571,1,-0.9896221941054176,1,1
entlicher,36,146,4.055555555555555,102.84931506849315,3069.257407407408,0.0966183574879227,0.0171426727367737,1,-0.2533670288727201,1,-1.3493912818789746,1,1
errael,2,5,2.5,196.6,1772.825,0.0,0.143456918050829,1,0.8276945706010004,1,-1.013500752871434,1,1
geertjanw,1,1,1.0,47.0,44030.78333333333,0.8928571428571429,0.0082854209253422,1,-4.585638940056706,1,-1.8971187890587475,1,1
graemerocher,1,2,2.0,184.0,264.3833333333333,0.0,0.1506605797246947,1,0.772644767887039,1,-0.996083010148332,1,1
hectorespert,1,2,2.0,37.5,360754.3,0.0,-0.036370592638664,1,-8.22409537326374,-1,-3.413367473063218,1,1
jGauravGupta,3,5,1.6666666666666667,75.6,23612.733333333334,0.25,0.116408190906052,1,1.1747638064185253,1,-1.1207804923216804,1,1
jglick,1,2,2.0,144.5,8247.083333333334,0.0,0.1516292810217319,1,1.0506464629888033,1,-0.9738763770036404,1,1
jhorvath,8,21,2.625,126.95238095238096,11161.704166666666,0.0555555555555555,0.123199589528183,1,1.7811059517323695,1,-0.9743355296291416,1,1
jisedlac,1,5,5.0,108.4,4190.9,0.0,0.1320570937166139,1,0.4754830362492619,1,-0.9852731145652008,1,1
jjazzboss,1,5,5.0,160.2,2707.6,0.0,0.1329336519623561,1,0.4669042586667515,1,-0.9845688046353316,1,1
jkovalsky,3,16,5.333333333333333,68.625,167844.7,0.1666666666666666,0.0248910620958843,1,-2.5600937212562407,1,-1.702498911624867,1,1
jlahoda,17,37,2.176470588235294,256.94594594594594,27719.695098039218,0.5555555555555556,0.0307971766270441,1,-1.4774864586143952,1,-1.443897836303933,1,1
jtulach,15,37,2.466666666666667,235.1081081081081,36043.057777777765,0.3235294117647059,0.0796482462091692,1,1.0682626347452349,1,-1.1725787232002831,1,1
juneau001,1,2,2.0,96.5,3394.133333333333,0.2,0.1327578497052514,1,1.2881516441355243,1,-1.0264654095200203,1,1
junichi11,27,80,2.962962962962963,122.425,4354.39938271605,0.134453781512605,0.076783796836139,1,1.4219352382791328,1,-1.0731790296921058,1,1
lahodaj,6,29,4.833333333333333,117.34482758620688,95585.11944444444,0.2142857142857142,0.0641429488374144,1,0.6875242506855717,1,-1.2740551969756904,1,1
lbownik,13,36,2.769230769230769,143.36111111111111,29585.724358974367,0.0,0.0957377929860073,1,1.5722529024623082,1,-0.9705550407945032,1,1
lbruun,1,1,1.0,135.0,954.1166666666668,0.0,0.1410052907637347,1,0.575806117772867,1,-0.9730257609624798,1,1
lkishalmi,32,75,2.34375,116.41333333333333,17833.296354166665,0.4260869565217391,0.0522320863405083,1,0.0001003308932752,1,-1.203547325049311,1,1
lyndseyBeil,2,4,2.0,284.0,23514.575,0.0,0.1305309123967705,1,-3.00960362267233e-05,1,-1.1167928710433523,1,1
matthiasblaesing,74,252,3.4054054054054053,234.515873015873,19216.68851351352,0.2693602693602693,-0.0507397097216244,1,-4.100126983632166,1,-1.822619708445436,1,1
mbien,72,284,3.9444444444444446,264.5457746478873,29984.807638888906,0.1811023622047244,-0.0709314025318194,1,-4.669393805324311,1,-1.994271702280736,1,1
mhalachev,1,1,1.0,51.0,2799.4666666666667,0.0,0.1379647021958022,1,-0.0001703981443323,1,-0.9721609845871456,1,1
mishrasandeep,5,19,3.8,84.63157894736842,107819.70666666668,0.0,0.0846380713371222,1,0.0001002191607923,1,-1.3614091005270943,1,1
mklaehn,4,7,1.75,611.0,1208.6375,0.75,-0.0787202578343662,1,-7.884764233396561,1,-2.111915603966233,1,1
moacirrf,1,1,1.0,43.0,653.7666666666667,0.0,0.1368835270271866,1,-0.1480417071429585,1,-0.9862738581411464,1,1
mossroy,1,1,1.0,110.0,2191.5,0.0,0.1409914055439431,1,0.5215048557104396,1,-0.9693630501790388,1,1
neilcsmith-net,33,74,2.242424242424242,232.3783783783784,27855.5595959596,0.4344827586206896,0.0274401420167759,1,-0.3948344601606806,1,-1.2705520109736737,1,1
nicolaken,1,4,4.0,250.75,4799.433333333333,0.0,0.1303700467309067,1,0.094369157770549,1,-1.0751888014838775,1,1
notzed,2,8,4.0,590.75,13083.275,0.0,0.019667395354477,1,-5.999773473894855,1,-2.35823365220318,1,1
oyarzun,4,6,1.5,702.1666666666666,44081.287500000006,0.2,-0.0307155559612029,1,-7.1698076681928296,1,-2.646953463034829,1,1
pepness,9,15,1.6666666666666667,154.86666666666667,12308.275925925926,0.0476190476190476,0.1068388799245617,1,1.5746466609140413,1,-0.9685271558517972,1,1
phejl,1,2,2.0,177.0,4606.933333333333,0.0,0.15199219608058,1,0.901249112672252,1,-0.9816100338071054,1,1
philippefichet,1,1,1.0,14.0,957.25,0.0,0.1206193984789414,1,-0.5961193186969069,1,-1.0513318496820738,1,1
piercemar,1,6,6.0,63.333333333333336,69.25,0.0,0.1048735352883473,1,-0.4776259136465395,1,-1.1386130224883466,1,1
ppisl,16,63,3.9375,99.85714285714286,6546.718749999999,0.2278481012658227,0.0924612966975741,1,1.5194953543891805,1,-1.0907315560730109,1,1
premek,2,11,5.5,174.0,1.5833333333333333,0.0,0.1157867369956794,1,0.1339320332932168,1,-1.0190700076918675,1,1
ratcashdev,2,10,5.0,159.1,172815.60833333334,0.0,0.0592022457330548,1,-2.6881066546812478,1,-1.824107762841216,1,1
sdedic,159,545,3.4276729559748427,188.98348623853207,8260.918658280922,0.1849427168576104,-0.1671820241155622,-1,-8.109776960872132,1,-3.638705551869335,-1,-1
singh-akhilesh,6,23,3.8333333333333335,105.95652173913044,64775.85833333334,0.4615384615384615,0.0593951185683835,1,-0.3263191491087305,1,-1.2694540983553784,1,1
