people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
103yiran,5,9,8,5,5,0,0,0,0.6,262334.5625,0.0995219904608687,1,-26.682193323403567,-1,-2.418851864671732,1,1
APrigarina,28,2608,2786,73,42,0,0,0,0.9047619047619048,16415.96790123457,0.1404587682112884,1,3.851718012644,1,-3.0500723360919846,1,1
AdityaMulgundkar,33,22339,5898,415,95,134,64,5,0.0,2746.880729166667,-0.0618017769335011,-1,-6.470083249695023,1,-33.9803319577764,-1,-1
AleksandrPanov,75,2347,902,128,91,0,0,0,0.75,5953.66554054054,0.1135729854959495,1,5.699209374400539,1,-1.0476502818604918,1,1
AndreiCostinescu,4,4,4,4,4,0,0,0,0.5,0.0,0.1785325575601687,1,4.836567636627279,1,-0.9982985622730324,1,1
AntonVeselskyi,1,1,1,1,1,0,0,0,0.0,0.0,0.1800912466689718,1,-0.0016941127650653,1,-0.9925573180232712,1,1
AquanJSW,2,3,3,2,2,0,0,0,0.0,8.783333333333333,0.1782792145612236,1,-0.0009988149729451,1,-57.75056040306124,-1,1
Assimilationstheorie,1,1,1,1,1,0,0,0,0.0,0.0,0.1800912466689718,1,-0.0016941127650653,1,-0.9925573180232712,1,1
AsyaPronina,41,23239,1778,289,81,1,0,1,0.4347826086956521,18511.377499999995,0.1051230222566371,1,5.170987917106132,1,-1.16452643831658,1,1
AtulKekan-developer,1,2,0,1,1,0,0,0,0.0,0.0,0.1802462108059695,1,-0.0016939155753874,1,-1.0046196332486947,1,1
Baiyun-u-smartAI,2,6,6,2,2,0,0,0,0.5,0.0,0.1804126165531891,1,4.834656693844664,1,-0.9976858028954284,1,1
BananaHemic,1,6,3,2,2,0,0,0,1.0,0.0,0.1761167666028716,1,-0.0763928602833914,1,-16.335185461473124,1,1
Bhavith02,1,1,1,1,1,1,1,1,0.0,0.0,0.1358065284331408,1,0.0046390784567336,1,-3720.605648166229,-1,1
BruceKangCN,1,1,1,1,1,0,0,0,0.0,0.0,0.1800912466689718,1,-0.0016941127650653,1,-0.9925573180232712,1,1
CNClareChen,1,43,3,1,1,0,0,0,1.0,0.0,0.1745097882012618,1,-0.0766202980490646,1,-12.366091575521404,1,1
CSBVision,7,193955,161492,306,23,30,5,2,0.6,76947.6138888889,-0.0819279663157775,-1,-2.7251038913503294,1,-2.356915329125656,1,1
ChristofKaufmann,1,6,0,1,1,0,0,0,0.0,0.0,0.1802462108059695,1,-0.0016816651273074,1,-1.8429007070442207,1,1
Cocoaxx,3,12,6,3,3,0,0,0,1.0,0.0,0.1762552516163995,1,-0.0752570599640165,1,-10.182996974462425,1,1
CowKeyMan,2,322,62,6,4,0,0,0,0.0,0.0,0.17507113539201,1,0.0005969890205648,1,-5.159281111530024,1,1
Crayon-new,29,828,169,52,31,0,0,0,0.5,2943.2803571428567,0.1565658588235319,1,4.913530134810486,1,-1.0075971541419064,1,1
DabeDotCom,1,2,2,1,1,0,0,0,0.0,0.0,0.1802462108059695,1,-0.0016881842678628,1,-1.339702904863512,1,1
Danile71,2,0,26,2,2,0,0,0,0.0,51.55,0.1782792145612236,1,-0.0001816848822642,1,-21.242363353752825,1,1
