people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
CSBVision,1,1.0,0.0,2072.2166666666667,0.0,0.0221795276490642,1,-5.139872519496265,1,-43.60238240105462,-1,1
Crayon-new,1,0.0,1.0,19939.7,0.0,-0.0141336145430908,1,-5.739748149069854,1,-22.166244382496465,1,1
DumDereDum,3,0.0,0.3333333333333333,134246.07222222222,199516.85,-0.1777006742922381,-1,-8.792329861227312,-1,-9.26891583422113,1,-1
HalioDiand,1,0.0,0.0,6.966666666666667,0.0,0.1878243334110567,1,0.0001390767565805,1,-0.993146597239278,1,1
JoeHowse,1,0.0,0.0,62683.55,0.0,0.1497434553980127,1,0.4275365717006085,1,-7.43422497032215,1,1
Johnzdh,1,0.0,0.0,0.6833333333333333,0.0,0.1878243334110567,1,-2.3235270953492204e-05,1,-0.9930805712126448,1,1
JulieBar,1,0.0,1.0,3720.2,0.0,-0.0222940856875861,1,-5.914392594891322,1,-35.91378144441528,1,1
NerdToMars,1,0.0,0.0,492.75,0.0,0.1863116917093772,1,0.0126188602178114,1,-0.998251267261242,1,1
Nicholas-Ho-arm,1,0.0,0.0,7.216666666666667,0.0,0.1878243334110567,1,0.0001455343234546,1,-0.9931492242695156,1,1
Ryyyc,1,0.0,0.0,22315.266666666663,0.0,0.1734694896039007,1,0.4278777475519604,1,-3.1097069644939124,1,1
ShuangLiu1992,1,0.0,0.0,213.8,0.0,0.1867683883264182,1,0.0054693014105904,1,-0.9953200269223524,1,1
TolyaTalamanov,1,0.0,0.0,151764.93333333332,0.0,0.1064813717288594,1,-2.24081024951078,1,-9.46363553716634,1,1
a2808,1,0.0,0.0,2338.733333333333,0.0,0.1860245903420152,1,0.0587934838135542,1,-1.0176490833988454,1,1
alalek,352,0.9176136363636364,0.2897727272727273,22788.72589962121,2064.150237416905,-0.2106758552792943,-1,-7.967575522284771,1,-23.217860354380107,1,1
amirtu,2,0.0,0.0,12.7,38.36666666666667,0.1421437630704476,1,0.0017913446098454,1,-0.993078644723804,1,1
aryanshomray,1,0.0,0.0,16297.016666666666,0.0,0.1760412054269304,1,0.3423061795751447,1,-2.448484377199274,1,1
asenyaev,1,0.0,0.0,1089.6166666666666,0.0,0.1872867529971718,1,0.0277653409990623,1,-1.0045232143853569,1,1
asmorkalov,23,0.0,0.217391304347826,117832.70434782606,32080.091666666674,-0.1056285990512523,1,-1.3499736990694409,1,-7.58377645618021,1,1
cabelo,1,0.0,0.0,2142.3,0.0,0.1860245903420152,1,0.0539743514206101,1,-1.0155849381736468,1,1
damonyu1989,4,0.25,0.0,35131.22083333333,24085.716666666664,-0.0698477540382113,1,-0.7487514801656303,1,-9.583329084934732,1,1
danbey,2,0.0,0.0,2911.366666666667,5822.65,0.1254186674219296,1,0.2134747394035674,1,-1.852303450642773,1,1
danielenricocahall,10,0.0,0.2,19959.845,8088.040740740741,-0.0028991564757956,1,0.1534048153657874,1,-7.976643160368953,1,1
danopdev,2,0.0,0.0,6568.933333333333,7163.166666666667,0.1166166613888234,1,0.3233747051468292,1,-2.305110022811653,1,1
easonycwang,1,1.0,0.0,461.1666666666667,0.0,0.002600301088842,1,-5.150539307332816,1,-43.81119461542004,-1,1
egorpugin,1,0.0,1.0,71874.4,0.0,-0.0531431161315439,1,-5.709540016771554,1,-15.338146708560895,1,1
fpetrogalli,1,0.0,0.0,125447.56666666668,0.0,0.1182869683620255,1,-1.2116940577525543,1,-9.12966220731763,1,1
gasparitiago,1,0.0,0.0,1.3,0.0,0.1878243334110567,1,-7.304434888055766e-06,1,-0.9930870512205636,1,1
hafiz-max,1,0.0,0.0,0.6166666666666667,0.0,0.1878243334110567,1,-2.49575366453314e-05,1,-0.993079870671248,1,1
hanliutong,1,0.0,0.0,6815.7,0.0,0.1831407831463932,1,0.1624692687713871,1,-1.2639621861725685,1,1
hannesa2,1,0.0,0.0,388.01666666666665,0.0,0.1871338499366912,1,0.0099397948340378,1,-0.9971507167271212,1,1
jKaushalb,1,0.0,0.0,17096.033333333333,0.0,0.1757277313198076,1,0.3549549021111531,1,-2.5429535873111786,1,1
jiapei100,1,0.0,0.0,308365.0,0.0,-0.0082698954680311,1,-7.6819693954852095,1,-13.547915194092152,1,1
komakai,1,1.0,0.0,4599.616666666667,0.0,-0.0062118196152433,1,-5.125062398335613,1,-42.69787125823554,1,1
kstuedem,1,0.0,0.0,5.183333333333334,0.0,0.1878243334110567,1,9.301173307108002e-05,1,-0.9931278577569176,1,1
micha137,1,1.0,0.0,1529.85,0.0,0.023689666345645,1,-5.143357267349553,1,-43.602734903163466,-1,1
mightbxg,1,1.0,0.0,96104.71666666666,0.0,-0.1074497180042074,1,-6.075608209132539,1,-9.770634789510156,1,1
mikhail-nikolskiy,1,0.0,0.0,1197.3666666666666,0.0,0.1872867529971718,1,0.0304776522577903,1,-1.0056554644176765,1,1
mpashchenkov,1,0.0,0.0,44562.43333333333,0.0,0.1642628270788961,1,0.5492927374585701,1,-5.339077816486873,1,1
mshabunin,4,0.0,0.0,468.78333333333336,96090.88888888888,-0.0162482285343507,1,-3.8336241216423375,1,-21.5325256305227,1,1
opencv-pushbot,519,1.0,0.140655105973025,6452.912235067438,1353.6062419562418,-0.211601336355853,-1,-8.597590115930968,-1,-41.417526701762846,1,-1
raaldrid,1,0.0,0.0,1.5833333333333333,0.0,0.1878243334110567,1,1.506484714752787e-08,1,-0.9930900285214994,1,1
rogday,5,0.0,1.2,161907.99333333335,80493.625,-0.1648087631181566,1,-7.98396585646076,-1,-5.646382308237483,1,1
ryansburgoyne,1,0.0,0.0,5375.35,0.0,0.1828342640366275,1,0.1304082316301453,1,-1.0159088898226585,1,1
savuor,1,0.0,0.0,180966.15,0.0,0.0823686901592968,1,-3.4471702451519315,1,-9.89809182458217,1,1
sivanov-work,5,0.0,0.8,57573.11333333334,53889.97083333333,-0.0490036592091833,1,-4.984931645340398,1,-7.722788438892993,1,1
smirnov-alexey,1,0.0,0.0,37114.0,0.0,0.1681983923284873,1,0.5426754523528032,1,-4.532722283583436,1,1
sturkmen72,1,0.0,0.0,18745.783333333333,0.0,0.1751000473651907,1,0.3798260476202735,1,-2.733478099203526,1,1
sujitahirrao,1,0.0,0.0,0.5,0.0,0.1878243334110567,1,-2.797150778199864e-05,1,-0.993078644723804,1,1
vmskhan,1,0.0,0.0,343.7,0.0,0.1871338499366912,1,0.0088042695474488,1,-0.9966850318337054,1,1
vpisarev,3,0.0,0.0,48557.77222222223,48174.16666666667,0.0526021932334893,1,-0.0660529263929028,1,-7.557726509733838,1,1
vrabaud,3,0.0,0.0,11115.9,42548.65833333333,0.072566939164203,1,-0.0647612535433133,1,-10.044184242099396,1,1
yo1990,1,0.0,0.0,0.4333333333333333,0.0,0.1878243334110567,1,-2.969378053130356e-05,1,-0.993078644723804,1,1
yuanyan-cn,1,0.0,0.0,1.65,0.0,0.1878243334110567,1,1.737293347403579e-06,1,-0.993090729062896,1,1
zchrissirhcz,1,0.0,0.0,31.1,0.0,0.1878243334110567,1,0.0007622808680718,1,-0.9934001932248618,1,1
zihaomu,1,0.0,0.0,9911.366666666669,0.0,0.1761462279966493,1,0.2271763159640976,1,-1.8084811773723768,1,1
