people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
APrigarina,2,5,2.5,117.6,435.7000000000001,0.0,0.1762536225784441,1,3.691351026260456,1,-1.0378361998625942,1,1
AdityaMulgundkar,1,17,17.0,96.88235294117646,48806.3,0.0,0.0911710028071466,1,-19.05840059864511,1,-1.3328968610175829,1,1
AleksandrPanov,9,43,4.777777777777778,127.3953488372093,6202.622222222223,0.2307692307692307,0.0843352041861696,1,-5.113537348788874,1,-1.808232320569404,1,1
AlexanderKalistratov,1,3,3.0,296.6666666666667,79516.66666666667,0.0,0.130659778296215,1,0.3078110928096293,1,-1.3010931252099482,1,1
AsyaPronina,15,290,19.33333333333333,98.34137931034483,6100.138888888889,0.0347826086956521,-0.0052915380470461,1,-24.360780998308684,1,-1.4987049459386834,1,1
Avasam,1,1,1.0,160.0,626785.4,0.0,-0.0711981602370107,-1,-37.538064282765845,-1,-7.258326098312277,-1,-1
CSBVision,1,3,3.0,613.3333333333334,1424.9,0.0,0.1278100630759231,1,-13.09747619767688,1,-1.24812045756054,1,1
Cocoaxx,1,1,1.0,651.0,676.8,0.0,0.1145811344186815,1,-16.530736926253745,1,-1.307345807261241,1,1
Crayon-new,2,10,5.0,16.4,6597.400000000001,0.0,0.1517849091054687,1,0.7619704423329878,1,-1.3714094115702768,1,1
Daniil-Osokin,1,4,4.0,72.25,54524.03333333333,0.1428571428571428,0.1018010297431414,1,-0.0001906918870417,1,-2.1158331226837555,1,1
Developer-Ecosystem-Engineering,2,8,4.0,47.125,9988.891666666666,0.0,0.1725629309553876,1,2.5945437611235747,1,-1.2311720177932532,1,1
DumDereDum,6,103,17.166666666666668,30.75728155339806,19915.93888888889,0.025,0.0447655155224186,1,-19.46731559078992,1,-1.3588832155400028,1,1
Dylan2048,1,2,2.0,60.5,1176.3,0.0,0.1808467346804858,1,1.2811620169821296,1,-0.9730469842032012,1,1
HarryDC,1,3,3.0,68.33333333333333,31525.233333333334,0.0,0.1729398605297806,1,3.1910523052474677,1,-1.1914026941175506,1,1
Harvey-Huang,3,7,2.333333333333333,84.14285714285714,12179.277777777776,0.0,0.1738437573039638,1,3.036406138240963,1,-1.0208618777712686,1,1
HattrickGenerator,1,1,1.0,399.0,19504.033333333333,0.0,0.1563404187854218,1,-3.47987024653267,1,-1.1493265954313698,1,1
IanMaquignaz,3,13,4.333333333333333,193.7692307692308,6699.6500000000015,0.0,0.1674372988546625,1,5.7818474431522375,1,-1.094269237648956,1,1
IgorBelyakovIntel,1,1,1.0,88.0,72258.8,0.0,0.1475708886161336,1,-0.8101249692960621,1,-1.842630694180403,1,1
JJJoonngg,1,2,2.0,33.5,192.9333333333333,0.0,0.1799436788447017,1,-0.0001906687289192,1,-1.0407909187005508,1,1
JoeHowse,3,8,2.6666666666666665,216.25,125740.13888888888,0.0,0.1127062196584227,1,-4.233270189953444,1,-1.7437743874498983,1,1
JonasVautherin,2,4,2.0,200.5,305.18333333333334,0.0,0.1726174381882871,1,3.6003604154850777,1,-1.0501952673255346,1,1
JulieBar,8,130,16.25,53.93076923076923,26130.983333333337,0.0512820512820512,0.0495335781923012,1,-17.07070118620595,1,-1.3007715083057323,1,1
JulienMaille,1,4,4.0,213.25,17.633333333333333,0.0,0.1685518555365794,1,5.190998105240823,1,-1.1366076841595112,1,1
Kumataro,2,4,2.0,136.25,7345.908333333333,0.0,0.1807973876081143,1,3.668941888327126,1,-1.0353911672261056,1,1
