people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
0urobor0s,2,95,42,11,4,0,0,0,1.0,375892.43333333335,0.0046203464873755,1,-40.51360001572414,-1,-6.787175096549613,1,1
4goodapp,2,49,24,2,2,0,0,0,1.0,168.93333333333334,0.1837315729493068,1,0.0707944888455713,1,-1.174244322705184,1,1
AlchemistCamp,1,2,0,1,1,0,0,0,1.0,0.0,0.1960624142316328,1,7.73728622505132e-06,1,-132038.17199483677,1,1
Apelsinka223,1,29,8,8,2,0,0,0,1.0,0.0,0.1807061203604946,1,0.0547768063963616,1,-4.349256981010956,1,1
AstolfoKawaii,1,1,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,1.1817233769306769e-07,1,-1.0,1,1
BarbaricCorgi,5,66,40,5,5,0,0,0,1.0,1054.5875,0.1602528155243602,1,0.1599674636281847,1,-2.5515529372764214,1,1
Cervajz,1,1,0,1,1,0,0,0,1.0,0.0,0.1960624142316328,1,-3.231713527895863e-06,1,-112716.6515627694,1,1
ConaGo,1,1,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,1.1817233769306769e-07,1,-1.0,1,1
Exadra37,1,216,0,1,1,0,0,0,0.0,0.0,0.144142621108703,1,-0.0563251408627039,1,-9.782686955538097,1,1
Gazler,1,37,14,8,1,0,0,0,1.0,0.0,0.1767695622240653,1,0.0334961636855126,1,-11.116495037818003,1,1
GregMefford,1,1,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,1.1817233769306769e-07,1,-1.0,1,1
H12,2,3,1,2,2,0,0,0,1.0,0.0,0.1914571844937098,1,0.0661860435620695,1,-1.1882152126928638,1,1
HusseinMorsy,2,9,9,2,2,0,0,0,0.5,141217.93333333332,0.0974296679123692,1,-0.667185179882118,1,-1.30785229526082,1,1
J0,1,1,2,1,1,0,0,0,0.0,0.0,0.167339048901226,1,-0.0570712263250925,1,-0.9940846521952168,1,1
JonRowe,1,1,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,1.1817233769306769e-07,1,-1.0,1,1
Kintull,2,92,75411,394,32,0,17857,12,0.0,17.05,-0.2827599892322567,-1,-58.05416967839872,-1,-75.71602266175299,1,-1
LostKobrakai,4,8,2,4,4,0,0,0,1.0,87351.7611111111,0.1340237023062543,1,-1.967419233802616,1,-5.9559025826016825,1,1
MaSven,1,6,0,1,1,0,0,0,0.0,0.0,0.1681586914655196,1,-0.0570351430646596,1,-1.0063732764762707,1,1
MichalDolata,1,0,40,3,1,0,0,0,0.0,0.0,0.1410521998225491,1,-0.0447738377869271,1,-9.872013555188191,1,1
Morzaram,4,263,73,6,6,0,0,0,0.0,145.0222222222222,0.112793087919117,1,-0.0174673916416878,1,-16.181701129295572,1,1
N-0x90,3,5,2,3,3,0,0,0,0.0,632.2333333333333,0.1520926741953669,1,-2.4516835139820614e-07,1,-17.695748301188534,1,1
NewMountain,1,0,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,-1.0896786022840388e-05,1,-165956.82256003455,-1,1
