people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
Gazler,13,0.7692307692307693,0.0,5600.053846153846,54469.12083333335,-0.0315148250000586,1,0.0006551290553669,1,-1.0052368237716207,-1,1
MaSven,1,0.0,0.0,5.2,0.0,0.1816379844606125,1,-5.354724241657394e-05,1,-1.003249132547268,1,1
aaronrenner,21,0.9523809523809524,0.1428571428571428,3443.909523809524,29830.75666666667,-0.0871886774839241,1,-0.4678792727724157,1,-0.9894116124804988,1,1
arbaaz,1,0.0,0.0,1629.8166666666666,0.0,0.1818721353617428,1,0.0022716036856307,1,-1.0032497443911956,1,1
chrismccord,81,0.7407407407407407,0.0864197530864197,29685.41995884773,8289.537291666666,-0.1035273293881748,-1,-0.0002780282804741,1,-1.001205293967416,1,1
dependabot[bot],10,0.0,0.0,35947.096666666665,56183.05740740741,-0.0555609800597179,1,-3.256393738881869e-05,1,-1.0037565577209917,1,1
fekle,1,0.0,0.0,12154.066666666668,0.0,0.1112644431775897,1,0.0153987955655847,1,-1.003244541133129,1,1
henriquecf,1,0.0,0.0,466204.4,0.0,-0.1007541905023472,1,-0.9200066146742314,-1,-0.9894116124804988,1,1
josevalim,134,0.9029850746268656,0.0149253731343283,7833.028233830845,4900.867042606516,-0.1017418862345711,1,-0.568205598847433,1,-0.9922381156575176,1,1
karangejo,1,0.0,0.0,601.6666666666666,0.0,0.1841041698000717,1,0.0008094109566214,1,-1.003249401149234,1,1
kayuapi,2,0.0,0.0,3574.866666666667,95414.18333333332,-0.0390976656147463,1,-0.565650585081342,1,-0.9933657017070404,1,1
kevinlang,1,1.0,0.0,44048.4,0.0,-0.0608718994740864,1,-0.1525419869008493,1,-1.0035592091847088,1,1
leandrocp,1,0.0,0.0,24.716666666666665,0.0,0.1820957410272675,1,-2.5140158078418292e-05,1,-1.0032491421433414,1,1
marcandre,1,0.0,0.0,629.7,0.0,0.1845583803641301,1,0.0008497037506751,1,-1.0032494125181053,1,1
mcrumm,28,0.9285714285714286,0.1071428571428571,3852.412500000001,21282.61296296296,-0.0470512390222891,1,-0.0003119738996395,1,-0.9962810156502978,1,1
milmazz,1,0.0,0.0,3794.15,0.0,0.1671891218993809,1,0.0052449336743536,1,-1.0032499715465628,1,1
sevenseacat,1,0.0,0.0,19.616666666666667,0.0,0.1820957410272675,1,-3.256224400427499e-05,1,-1.0032491396410137,1,1
