people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
AndrewDryga,1,1,1.0,62.0,7210.6,0.0,0.1643122197519512,1,0.4447833057950863,1,-0.9974433015079388,1,1
BarbaricCorgi,1,2,2.0,405.0,4200.85,0.0,0.118835141835996,1,0.2929964714402437,1,-1.3091133141091562,1,1
Exadra37,1,3,3.0,150.0,29040.18333333333,0.0,0.101387661016746,1,-0.685315286033223,1,-1.4940160091182932,1,1
Gazler,3,12,4.0,76.08333333333333,3278.0722222222225,0.0,0.0640644744371958,1,-1.3634593184559698,1,-1.4777639769006634,1,1
H12,1,1,1.0,247.0,2.083333333333333,0.0,0.1618318285968336,1,0.2078748814324598,1,-0.9898649510341836,1,1
LostKobrakai,3,5,1.6666666666666667,71.2,27443.17777777777,0.0,0.083099088688334,1,-0.0001766145397592,1,-1.6746592777957718,1,1
RudolfMan,1,1,1.0,39.0,23445.466666666667,0.0,0.1394183548006424,1,-0.5104157655027759,1,-1.6204777341756702,1,1
RumataEstor,2,3,1.5,121.66666666666669,33524.875,0.0,0.0924640648727547,1,-0.751183712940847,1,-1.870758169005769,1,1
ZombieHarvester,1,1,1.0,233.0,734.85,0.0,0.1668738223460769,1,0.3757719774214401,1,-0.9673792842963348,1,1
aaronrenner,4,11,2.75,122.8181818181818,4890.320833333334,0.2,0.0402593564642458,1,0.2896862272530089,1,-1.3270929859028873,1,1
abitdodgy,1,1,1.0,181.0,31.366666666666667,0.0,0.1691326434253539,1,0.3426477276481403,1,-0.9883536015740216,1,1
achempion,1,7,7.0,219.8571428571429,41752.51666666667,0.0,-0.1044757257909337,-1,-9.031093622628871,1,-2.196444871309424,1,1
adamgordonbell,2,2,1.0,100.0,1736.7333333333331,0.0,0.1565179620283866,1,0.2911840704966781,1,-0.9991664492161868,1,1
almirsarajcic,1,3,3.0,100.33333333333331,1037.2333333333331,0.4285714285714285,0.0131156987987944,1,-4.354273410131247,1,-1.819997896402036,1,1
anildigital,2,2,1.0,63.5,956.1666666666666,0.1428571428571428,0.0806090592168313,1,-0.3806099310688076,1,-1.0413756033834105,1,1
aptinio,1,1,1.0,26.0,55172.55,0.0,0.0505858686455013,1,-5.069008305358228,1,-2.330024111427043,1,1
axelson,1,2,2.0,125.0,124.73333333333332,0.0,0.1666541188854922,1,1.1858900043488845,1,-1.0121877320094743,1,1
bcardarella,2,11,5.5,145.0,6492.116666666667,0.0,0.0022687921726223,1,-4.290039538752689,1,-2.0101901215799733,1,1
bemesa21,3,8,2.6666666666666665,161.75,7212.166666666667,0.0,0.1069797896330707,1,1.7942065965486569,1,-1.1737253214915162,1,1
brainlid,1,4,4.0,144.25,1259.4333333333334,0.0,0.1104565440452264,1,-1.0125404423597075,1,-1.459708400681651,1,1
c4710n,2,4,2.0,208.75,7595.691666666667,0.0,0.1308359726851966,1,2.2853358554614456,1,-1.0688208840678013,1,1
chrismccord,9,22,2.4444444444444446,182.8636363636364,6660.475925925925,0.037037037037037,-0.0276242335501213,1,0.8261312696881049,1,-1.2379443883805084,1,1
chvanikoff,1,6,6.0,188.8333333333333,654.9666666666667,0.0,0.0134676703466077,1,-5.621094380353866,1,-2.126469127647174,1,1
cigrainger,1,1,1.0,437.0,59.73333333333333,0.0,0.1177767992500836,1,-1.7312366753379216,1,-1.4339190035987643,1,1
connorlay,2,5,2.5,317.6,61190.15833333333,0.0,-0.0344264203846632,1,-6.324128868552104,1,-2.075638513314908,1,1
cw789,5,9,1.8,193.5555555555556,19293.11333333333,0.4285714285714285,-0.0469863371752496,1,-3.708325024249003,1,-1.917553575041168,1,1
dannyh79,1,3,3.0,75.33333333333333,1841.7,0.0,0.1329665329790624,1,0.3099949707926903,1,-1.2447128656482809,1,1
devcovato,1,1,1.0,82.0,8578.4,0.0,0.1588677560942348,1,0.699872720599469,1,-0.9915892437613332,1,1
dewetblomerus,1,3,3.0,474.0,5.9,0.0,0.0809578851405429,1,-1.857927193990209,1,-1.5580234572932803,1,1
eksperimental,10,21,2.1,153.28571428571428,1018.825,0.0,-0.0174092249442975,1,0.0274410934020234,1,-1.1821076078596398,1,1
escobera,1,1,1.0,117.0,5154.416666666667,0.0,0.1658570074709719,1,0.7584460036104019,1,-0.995100459230312,1,1
feliperenan,2,2,1.0,293.0,406.1666666666667,0.0,0.1244211175317899,1,8.830418070360224e-05,1,-1.0730508456907768,1,1
fivetanley,1,1,1.0,421.0,10381.733333333334,0.0,0.1177840985490704,1,-0.6977078886999859,1,-1.4560736118652329,1,1
fuelen,2,4,2.0,137.25,1641.325,0.0,0.1502413726420385,1,1.505775592649062,1,-0.9973905255706996,1,1
