people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
15738859212,5,363,132,14,9,0,0,0,0.0,28980.00833333333,0.1681291350990229,1,0.2442879689931487,1,-29.56217284407746,1,1
AngusP,4,24,14,4,4,0,0,0,0.0,257092.98888888888,0.1187736408952075,1,-20.867452076859443,1,-4.991953590086777,1,1
Arun4rangan,3,138,42,9,6,0,0,0,0.0,0.0,0.1786140688862934,1,0.0119510842512937,1,-1.8727045775265128,1,1
Avital-Fine,2,2,2,2,2,2,2,2,1.0,34.6,0.1502393692332792,1,-0.0518893055957363,1,-17.57853605728879,1,1
Axlgrep,10,144,63,20,15,0,0,0,0.0,57908.59444444445,0.1603114225001778,1,-0.2844440829393591,1,-27.855089659336567,1,1
CaoZB,3,30,3,3,3,0,0,0,0.0,0.0,0.1828216927939669,1,0.0042932960151347,1,-10.8566465274499,1,1
Ccheers,2,11,8,2,2,0,0,0,0.0,8.433333333333334,0.184540073628268,1,0.000413907083967,1,-0.9936836409538904,1,1
CharlesChen888,1,35,6,2,2,0,0,0,1.0,0.0,0.1763014435337188,1,-0.0594481714497874,1,-34.71894316587206,1,1
DarrenJiang13,41,615,447,92,59,0,0,0,0.6521739130434783,19006.560416666667,0.1229881725770294,1,5.424101392847675,1,-0.9983315113827054,1,1
Developer-Ecosystem-Engineering,2,108,4,2,2,0,0,0,0.0,0.0,0.1813557337609524,1,0.0008744826050417,1,-4.668165507335134,1,1
DvirDukhan,12,143,26,17,14,35,0,1,0.0,17749.94393939394,0.1442275312421156,1,0.2567814327626507,1,-9.445098568075444,1,1
ElvinaYakubova,1,8,3,1,1,0,0,0,1.0,0.0,0.1767084754391774,1,-0.0632991363137591,1,-2.3425509772722823,1,1
Ewg-c,2,71,21,7,3,0,0,0,1.0,94972.98333333334,0.1347217344305584,1,-3.154502305780582,1,-58.03451764352386,-1,1
GnaneshKunal,9,9287,1808,126,20,35,0,1,0.6666666666666666,8438.24375,0.1254805245141522,1,5.506708978811446,1,-0.9843799570128052,1,1
GuoZhaoran,2,20894,6630,408,34,286,89,7,0.0,48069.68333333333,0.0216678796947544,1,-0.4013540964196522,1,-12.807047636414714,1,1
HanGuangyu,8,564,49,31,14,0,0,0,0.0,38.62619047619048,0.1661893663714399,1,0.0364019834693465,1,-5.441487709018269,1,1
ISickMan,1,34,5,1,1,0,0,0,0.0,0.0,0.1832661462376814,1,-0.0040603158922039,1,-4.978179054998387,1,1
JimB123,5,66,46,10,9,0,0,0,0.6,94689.64166666666,0.1525656775748423,1,2.372801115892017,1,-1.436887799881124,1,1
JoanneGeng,6,497,42,30,17,0,0,0,0.0,2941.9566666666665,0.1646371935895622,1,0.0906436774205587,1,-5.809703357141889,1,1
JohnSully,6,30,0,6,6,0,0,0,0.0,40891.19666666667,0.1737838382857934,1,0.103972883760349,1,-39.54989741021335,-1,1
JunhuaY,7,497,167,36,12,0,0,0,0.5,3057.047222222222,0.1693008660614147,1,4.604002759382027,1,-1.0058129539633407,1,1
KarthikSubbarao,1,66,26,6,3,0,0,0,0.0,0.0,0.1824176695815225,1,0.0012956155017036,1,-8.539090841265324,1,1
KinWaiYuen,2,102,116,4,4,0,0,0,0.5,0.0,0.178241759352451,1,4.468753050656119,1,-0.9915775627276686,1,1
MeirShpilraien,319,78528,16236,2005,623,24247,296,730,0.7910447761194029,5949.471960167717,-0.1425451811511796,-1,-44.24736955078569,-1,-1.6942094732624362,1,-1
Mixficsol,10,14,15,10,10,0,0,0,0.3333333333333333,1936.9611111111112,0.1718538917889991,1,4.759745944901283,1,-1.0988446148215425,1,1
NickNYU,6,198705,82527,611,73,850,58,12,0.0,1677.6966666666667,-0.1265915835127571,-1,-43.57037340824854,-1,-143.3682862970997,-1,-1
OfirMos,4,16,4,4,4,0,0,0,0.5,64386.00555555555,0.170831442130633,1,3.8294232301594064,1,-3.143136602785159,1,1
OhBonsai,29,499,283,79,39,0,0,0,0.8888888888888888,4577.952976190477,0.1304039604915511,1,4.047955296070455,1,-12.392421980108656,1,1
PeteHaitch,2,2,2,2,2,0,0,0,0.5,576.8166666666667,0.1829090540947465,1,4.466822421267921,1,-0.9952940798411304,1,1
Phoeniwx,1,1,1,1,1,0,0,0,1.0,0.0,0.1770897643631356,1,-0.0634268563990048,1,-1.0073381344875372,1,1
PingXie,53,37782,15240,1152,186,1598,899,355,0.5714285714285714,8552.255448717948,-0.0618192922574137,1,-0.4081098216729373,1,-3.9339485416063353,1,1
QuChen88,24,406,159,54,36,0,0,0,0.5882352941176471,78365.67028985507,0.1330365220378961,1,3.500715264953428,1,-1.3426316216125782,1,1
Quinn-With-Two-Ns,1,2,1,1,1,0,0,0,1.0,0.0,0.1770897643631356,1,-0.0634162512167648,1,-0.997189396296154,1,1
RainbowMango,1,4,6,1,1,0,0,0,0.0,0.0,0.1842208399189812,1,-0.0042655039813013,1,-2.7220007308718985,1,1
RajivKurian,11,40,25,15,12,0,0,0,1.0,285.255,0.1558666884096247,1,0.0185078906847167,1,-6.553713916237112,1,1
ReaLNeroM,5,189,189,42,6,0,0,0,0.6666666666666666,73515.84583333334,0.155661637696213,1,3.8746638146311625,1,-1.128442503527459,1,1
ResearchingDexter,2,2,2,2,2,0,0,0,1.0,14.95,0.1766642460646682,1,-0.0544248524217465,1,-24.01796225882345,1,1
RinChanNOWWW,3,106,8,6,6,0,0,0,1.0,0.0,0.1676264191351519,1,-0.0350548719300718,1,-2.560187186766581,1,1
RoneTang,1,2,2,1,1,0,0,0,0.0,0.0,0.1842208399189812,1,-0.0044036813504675,1,-0.995297953452785,1,1
Rtoax,1,1199,1199,43,2,0,0,0,0.0,0.0,0.1448540353166373,1,0.0439823169363791,1,-13.902253246568872,1,1
RuiliF,2,4,2,2,2,0,0,0,0.5,113.63333333333334,0.1829090540947465,1,4.457414684166622,1,-0.992311544619834,1,1
ScottBrenner,2,20,20,4,2,20,20,4,0.0,0.0,0.1045727167773846,1,0.0050923968448159,1,-48.62898558854215,-1,1
ShooterIT,198,44339,13699,1197,377,456,182,17,0.673469387755102,4348.17081218274,-0.0478181192401396,1,-4.613713387082896,1,-2.3244079294156297,1,1
SmartKeyerror,1,1,1,1,1,0,0,0,1.0,0.0,0.1770897643631356,1,-0.0634268563990048,1,-1.0073381344875372,1,1
Super-long,6,66,36,9,7,0,0,0,0.0,16972.579999999998,0.1762968547063403,1,0.2385236339629699,1,-21.30325138627449,1,1
TOMsworkspace,2,4,3,2,2,0,0,0,0.0,3990.466666666666,0.1834686855474838,1,0.0753191680090736,1,-130.6649824144856,-1,1
TerryHowe,1,1,1,1,1,0,0,0,0.0,0.0,0.1842208399189812,1,-0.0044421979385447,1,-1.0129849680750027,1,1
VadimPushtaev,1,3,1,1,1,0,0,0,0.0,0.0,0.1842208399189812,1,-0.0044264320675893,1,-0.9719380708832088,1,1
VonAlex,2,104336,22307,301,34,3367,151,69,0.0,595901.8333333334,-0.1496533538562366,-1,-68.07543694826494,-1,-4.7035496664053245,1,-1
WOOSEUNGHOON,2,12,8,2,2,0,0,0,0.0,0.0,0.184540073628268,1,0.0002475438995617,1,-0.9922618922282556,1,1
YKG,1,39,39,5,1,0,0,0,0.0,0.0,0.1804605051344018,1,-0.0017348112163801,1,-19.53123367850553,1,1
YaacovHazan,65,36114,6634,717,148,12035,34,308,0.7916666666666666,9240.7015625,-0.0501750500643543,1,-4.858342051897125,1,-2.082796242587281,1,1
YeonCheolGit,3,3,3,3,3,0,0,0,0.3333333333333333,1173.85,0.1804269584182833,1,4.696684752929613,1,-1.098995226171127,1,1
Yuuoniy,2,2,2,2,2,0,0,0,1.0,4132.633333333333,0.1741062088805653,1,-0.0183755706593302,1,-4.915679720744304,1,1
a2tt,2,18,18,14,2,0,0,0,1.0,223.66666666666663,0.1714885061948361,1,-0.0449738572054343,1,-2.1181955490105944,1,1
abhisheksoni27,1,1,1,1,1,1,1,1,0.0,0.0,0.1641316003787946,1,-0.0039220754698305,1,-31.912291204310737,1,1
adiamzn,1,47,12,5,2,0,0,0,1.0,0.0,0.1739962579559018,1,-0.0574493745068735,1,-33.85355346736512,1,1
adlternative,2,4,4,2,2,0,0,0,0.5,1128.6166666666666,0.1829090540947465,1,4.477903717310923,1,-0.9988462618868562,1,1
agmt,3,78,18,3,3,0,0,0,0.3333333333333333,766.7,0.1789614556633798,1,4.68941622677481,1,-1.099166465444522,1,1
alikarakoc,1,1,1,1,1,0,0,0,0.0,0.0,0.1842208399189812,1,-0.0044421979385447,1,-1.0129849680750027,1,1
