people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
631086083,1,0.0,0.0,463550.56666666665,0.0,-0.0184476891472844,1,-11.350357113667606,-1,-28.86430886391952,1,1
Amaranese,1,0.0,0.0,0.1,0.0,0.1888105622095447,1,-0.0009085232868191,1,-0.9929420676941316,1,1
Axlgrep,4,0.0,0.0,91.73333333333332,25564.222222222223,0.103483468380955,1,0.1138936012141051,1,-41.27571905863531,1,1
DarrenJiang13,1,0.0,0.0,21289.516666666663,0.0,0.176963629036824,1,0.1790961837107065,1,-12.01993864923122,1,1
ItsSickGuy,1,0.0,0.0,928.2166666666668,0.0,0.1872770547649667,1,0.0113251981251689,1,-1.0795405951007218,1,1
MeirShpilraien,1,0.0,0.0,5534.05,0.0,0.1846423350607713,1,0.0661700509302232,1,-5.248816739274135,1,1
PingXie,1,0.0,0.0,46.65,0.0,0.1888105622095447,1,-0.0002855318370684,1,-0.9960411940135028,1,1
Super-long,3,0.0,0.0,14001.805555555557,10162.7,0.1436051498614384,1,0.2639629351675374,1,-12.833458566155509,1,1
TerryHowe,1,0.0,0.0,64.5,0.0,0.1888105622095447,1,-4.69036542636303e-05,1,-0.997229580797622,1,1
ashtul,1,0.0,0.0,22.816666666666663,0.0,0.1888105622095447,1,-0.0006043758964295,1,-0.9944544590916624,1,1
avimredis,1,0.0,0.0,6031.8,0.0,0.1846423350607713,1,0.0715100578481049,1,-5.624633436103095,1,1
bjosv,1,0.0,0.0,20.53333333333333,0.0,0.1888105622095447,1,-0.0006349361524495,1,-0.994302443228521,1,1
bugwz,3,0.0,0.0,4113.9,65022.725,0.0911553697438285,1,-0.7970593665574075,1,-66.66676177466779,1,1
caixiangyue,2,0.0,0.0,7.166666666666666,26.75,0.1719865465011578,1,0.0001150216920056,1,-1.040463207731006,1,1
chendq8,2,0.0,0.0,61408.708333333336,326341.95,-0.0962619305554433,1,-11.244375613700168,-1,-24.87763887247858,1,1
chenyang8094,1,0.0,0.0,97.05,0.0,0.1888105622095447,1,0.0003878661030558,1,-0.9993966390510164,1,1
cndoit18,1,0.0,0.0,555.2666666666667,0.0,0.1872161003977834,1,0.0064567296255617,1,-0.9991325647196307,1,1
devnexen,1,0.0,0.0,236.46666666666667,0.0,0.1888105622095447,1,0.0022445597841898,1,-1.0049449119329492,1,1
eduardobr,1,0.0,0.0,32332.016666666663,0.0,0.1768821945824519,1,0.188850949630364,1,-13.885375339723728,1,1
enjoy-binbin,26,0.2307692307692307,0.0769230769230769,67232.33653846153,23090.24466666667,-0.0851106287235579,1,-1.328376568289137,1,-25.190051009050936,1,1
fatpat,1,0.0,0.0,59528.71666666667,0.0,0.1661658082107402,1,-0.0267154759523577,1,-19.337133261284936,1,1
filipecosta90,1,0.0,0.0,0.0833333333333333,0.0,0.1888105622095447,1,-0.000908746519137,1,-0.9929409580892916,1,1
gua-pian,1,0.0,0.0,25883.116666666665,0.0,0.176526120059819,1,0.1900995747682383,1,-13.735988120959174,1,1
guybe7,2,0.0,0.0,30542.61666666667,7116.333333333333,0.1498988954357621,1,0.2896382669813615,1,-13.80697286234454,1,1
hpatro,1,0.0,0.0,1029.3,0.0,0.1869220251458814,1,0.0126337390542001,1,-1.1730823402574486,1,1
huangzhw,6,0.0,0.0,71547.11666666665,114567.95333333332,-0.0146548579343557,1,-3.377788429820603,1,-11.72677142284554,1,1
hwware,12,0.0,0.9166666666666666,54714.55138888888,39159.39848484848,-0.1285033047028575,-1,-9.085855543795724,1,-20.395509144015943,1,1
iakkus,1,0.0,0.0,57568.05,0.0,0.1679271306820637,1,-0.0001150583339288,1,-18.767727172975583,1,1
