people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
AviAvni,1,1,1.0,1601.0,185586.91666666663,0.0,-0.084340414387574,-1,-25.7411163108493,-1,-6.336473713236047,-1,-1
DarrenJiang13,3,6,2.0,130.5,60543.27222222223,0.0,0.1454011023027917,1,1.4650872165383682,1,-1.6895804894337965,1,1
Developer-Ecosystem-Engineering,1,1,1.0,178.0,32213.5,0.0,0.1644879398797332,1,1.3642219315963473,1,-1.1234084918301597,1,1
DvirDukhan,1,3,3.0,213.0,3721.65,0.0,0.1682049070402613,1,1.883832972991016,1,-0.9895918937854064,1,1
ElvinaYakubova,1,1,1.0,32.0,1707.35,0.0,0.1685506289522118,1,-0.6078663300192808,1,-1.0054545935369554,1,1
Ewg-c,1,1,1.0,79.0,1200.7166666666667,0.0,0.1755464422864885,1,0.1037312250926874,1,-1.0215385895572455,1,1
GnaneshKunal,1,5,5.0,148.6,2935.25,0.0,0.1694976155725993,1,2.4645467223045685,1,-1.0473792400653996,1,1
GuoZhaoran,1,5,5.0,149.4,4553.216666666666,0.0,0.1696288998627647,1,2.5559967413924696,1,-1.0436144336716755,1,1
HanGuangyu,1,7,7.0,349.2857142857143,106770.46666666666,0.0,0.116858036465622,1,-3.780781763449628,1,-2.0028464062407907,1,1
JimB123,2,14,7.0,364.7857142857143,36265.35833333333,0.1666666666666666,0.0799034074953219,1,-3.070805153746029,1,-1.7514066379113138,1,1
KinWaiYuen,1,1,1.0,145.0,2389.2166666666667,0.0,0.1741053806273412,1,0.6185364328889982,1,-0.91435722825211,1,1
MeirShpilraien,47,307,6.531914893617022,107.29315960912052,16057.367375886532,0.0454545454545454,0.0331633753085846,1,0.944334844226816,1,-1.4944698748102048,1,1
OhBonsai,2,8,4.0,208.25,10064.2,0.0,0.1679156168417234,1,2.626483335428756,1,-0.9767357188492548,1,1
PingXie,13,135,10.384615384615383,284.02962962962965,46406.43205128207,0.2,0.0329063914699596,1,-5.220255447237065,1,-1.4480710037152211,1,1
QuChen88,6,15,2.5,156.13333333333333,11626.419444444444,0.0,0.1624550934041986,1,2.325224250070612,1,-0.972758739211193,1,1
Quinn-With-Two-Ns,1,7,7.0,155.0,2957.833333333333,0.0,0.1578151362429837,1,1.8969074934634271,1,-1.2444607946372608,1,1
RinChanNOWWW,1,2,2.0,15.5,55.55,0.0,0.1573379091893382,1,-0.30513721725438,1,-1.0124365076651825,1,1
ShooterIT,27,129,4.777777777777778,172.47286821705427,35465.31172839506,0.1415094339622641,0.0711236738881172,1,1.160146895791062,1,-1.9228263585967884,1,1
Super-long,4,11,2.75,141.0909090909091,19748.904166666667,0.0,0.1697398835883486,1,2.647349897706036,1,-0.9906240213216476,1,1
TOMsworkspace,1,1,1.0,15.0,3991.383333333333,0.0,0.1606251501530322,1,-0.84935112223706,1,-1.0182916524967371,1,1
YaacovHazan,8,28,3.5,76.67857142857143,10811.789583333331,0.0,0.1509603342058044,1,2.148102382053988,1,-1.0001232288408064,1,1
YeonCheolGit,1,2,2.0,114.5,438689.5333333333,0.0,-0.0027311061051796,1,-25.07320668753557,-1,-4.099341080318867,-1,-1
a2tt,1,1,1.0,89.0,2.283333333333333,0.0,0.1757042813246515,1,0.1523758438715639,1,-1.017158978234204,1,1
allenfarris,1,3,3.0,168.0,124.65,0.0,0.171719951782828,1,1.9103484851013164,1,-0.9614289034680544,1,1
andyxning,1,1,1.0,41.0,1360.55,0.0,0.1742214343197572,1,-0.4583419595113085,1,-1.0051044762325243,1,1
anhldbk,1,2,2.0,97.5,52.73333333333333,0.0,0.1744223753174619,1,1.033127745736426,1,-0.9453180080824004,1,1
ashtul,1,11,11.0,61.36363636363637,201786.75,0.0,0.0557654041361442,1,-15.927004434347838,1,-1.829087199083328,1,1
barshaul,1,3,3.0,233.66666666666663,10885.4,0.0,0.1685636569524142,1,2.007492532463377,1,-1.004034395696871,1,1
bjosv,9,17,1.8888888888888888,152.88235294117646,35000.6037037037,0.0,0.1439376726096926,1,2.294845549699904,1,-1.1674672220216284,1,1
bugwz,3,9,3.0,135.88888888888889,3758.2722222222224,0.0,0.1690934828096422,1,2.1231067312149925,1,-0.9758314696515265,1,1
caipengbo,1,5,5.0,82.8,2245.0333333333333,0.0,0.1658786708746584,1,1.8473409791492763,1,-1.13161919198979,1,1
charsyam,1,1,1.0,26.0,1017.7,0.0,0.1658192170004764,1,-0.7594659694924815,1,-1.0097650855854892,1,1
chayim,1,1,1.0,189.0,7277.666666666667,0.0,0.1710386361346828,1,0.7674422547083353,1,-1.0052973151519973,1,1
cheese1,1,1,1.0,63.0,2961.65,0.0,0.1729997837257537,1,-0.0215887969892456,1,-1.011239817970373,1,1
chendq8,1,3,3.0,64.66666666666667,4240.05,0.0,0.1738278670287711,1,1.3673124682721642,1,-0.9763147002616694,1,1
chenyang8094,23,304,13.217391304347826,188.9177631578948,6012.329710144927,0.1351351351351351,-0.0071726512932488,1,-5.8839930545051935,1,-1.4513461557121596,1,1
cmemory,1,2,2.0,178.5,14741.966666666667,0.0,0.1738917296579347,1,1.9643405524534077,1,-0.9798308262672611,1,1
daemyungkang,1,1,1.0,157.0,669.1333333333333,0.0,0.1722040437488914,1,0.5313997869467002,1,-0.9194417954997512,1,1
daniel-house,1,3,3.0,102.0,12021.65,0.0,0.1742434516066863,1,2.19627301560514,1,-0.974970227099953,1,1
danni-m,1,2,2.0,581.0,43158.2,1.0,-0.1111194494318573,-1,-25.277012655701206,-1,-4.023135797521507,-1,-1
devnexen,1,1,1.0,121.0,564.4166666666666,0.0,0.1731511475061999,1,0.4373046044537858,1,-0.9285803328346216,1,1
dgilman,1,1,1.0,274.0,713.8166666666667,0.0,0.1551140441995796,1,-0.611956513713519,1,-1.1736065401867266,1,1
eduardobr,2,59,29.5,367.0677966101695,3276.65,0.0,-0.0295158873217199,1,-21.903195721433,1,-2.7753557732149057,1,1
enjoy-binbin,113,330,2.920353982300885,241.14545454545456,48685.40840707965,0.0949554896142433,-0.046594111528998,1,-7.116676099475786,1,-2.5371111905859665,1,1
