people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
FalkWoldmann6232,1,1,1,1,1,0,0,0,1.0,0.0,0.1433937661927348,1,-0.0029953799050499,1,-0.9813344281619856,1,1
GreenRover,1,3,3,3,1,0,0,0,1.0,0.0,0.127047921254934,1,0.0002104225989123,1,-0.9813177975272864,1,1
KSVarun,1,1,1,1,1,0,0,0,1.0,0.0,0.1433937661927348,1,-0.0029953799050499,1,-0.9813344281619856,1,1
Twometer,3,19,6,3,3,0,0,0,0.3333333333333333,26611.791666666664,0.0954397713197476,1,0.6224832895340047,1,-1.00145108511466,1,1
YunLemon,1,1,1,1,1,1,1,1,1.0,0.0,0.1149954902340388,1,0.002144496490982,1,-0.9818745708662012,1,1
apoupardsmartb,4,746,106,24,8,23,0,1,0.0,1454.3611111111113,-0.0692469811234517,1,-2.4199224864951168,1,-1.051765050818921,1,1
artembilan,3,66,16,4,3,0,0,0,0.0,71323.40833333334,0.0622657013282247,1,-2.4469628060902187,1,-1.0594624515183388,1,1
atyamlalithya,3,188,18,11,5,0,2,1,0.0,12278.933333333332,0.0560542144825991,1,0.2544345181945493,1,-1.0010477902872346,1,1
ddixit14,8,252,101,15,11,2,2,1,1.0,4511.964285714285,-0.095455723636827,1,-2.213258064911664,1,-1.048596881400084,1,1
ddobrin,1,124,21,4,3,1,1,1,0.0,0.0,0.086331257943794,1,0.0908497041956435,1,-0.9967180379475262,1,1
dzou,5,12,6,6,6,4,4,3,0.0,28844.69583333333,0.0035344045571286,1,-0.3584371728091886,1,-1.0245455077279926,1,1
elefeint,1,8,4,1,1,8,4,1,0.0,0.0,0.0659061042468817,1,0.0130064080224512,1,-0.9961009337092676,1,1
jon-ruckwood,1,3,3,1,1,3,3,1,1.0,0.0,0.068618615418178,1,-0.0042056576306697,1,-0.9825310828363604,1,1
marcingrzejszczak,2,4,1333,4,2,0,0,0,0.0,7090.133333333333,0.0132838299065174,1,0.0222974529689832,1,-0.9977985330250536,1,1
meltsufin,1,6,15,3,1,0,0,0,1.0,0.0,0.1033689870332358,1,0.00125889908412,1,-0.9813089074354778,1,1
msailes,2,11,3,2,2,0,0,0,0.0,6.966666666666667,0.1368929291278416,1,0.1289952844225119,1,-0.9972917454741562,1,1
nikolamicic21,1,1,1,1,1,1,1,1,1.0,0.0,0.1149954902340388,1,0.002144496490982,1,-0.9818745708662012,1,1
onobc,13,1363,8301,131,38,51,544,22,0.0,6968.416666666667,-0.328165609435705,-1,-5.5881203300643,-1,-2.6353518762002284,-1,-1
pguti778,2,2,2,2,2,1,1,1,0.5,10188.583333333334,0.0936107380162754,1,1.0451937713566934,1,-1.000506503992514,1,1
rahulmlokurte,4,16,5,4,4,0,0,0,0.0,25393.21666666667,0.0951124936979109,1,-0.0001051675715624,1,-1.017223926537186,1,1
ripper2hl,1,1,0,1,1,0,0,0,0.0,0.0,0.142419606114192,1,-0.0015078767901517,1,-0.9974546720714658,1,1
rssdev10,2,42,3,3,2,0,0,0,0.0,271.2,0.13257966274719,1,0.1544189957409081,1,-0.997272798557953,1,1
salaboy,1,3,3,2,2,0,0,0,1.0,0.0,0.1248353781297927,1,0.0092220179622781,1,-0.9813373937524228,1,1
sobychacko,4,680,17,14,6,30,0,1,0.25,83737.62777777779,-0.0861770460712577,1,-4.114556310795219,1,-1.2438627802085065,1,1
spencergibb,2,38,48,6,4,10,18,4,0.0,1381.7833333333333,-0.0705634413748496,1,-0.0374358414626279,1,-1.000701934722258,1,1
stefnoten,1,1,0,1,1,1,0,1,0.0,0.0,0.1174804415293484,1,0.0408467368063005,1,-0.9965581169114288,1,1
tdanylchuk,1,19,0,1,1,0,0,0,1.0,0.0,0.1197940631986102,1,0.002169331204807,1,-0.981271632549074,1,1
testivy,1,1,1,1,1,0,0,0,0.0,0.0,0.1451811410870443,1,-0.0015031759955919,1,-0.997454671696697,1,1
timmyowl,1,2,2,1,1,0,0,0,1.0,0.0,0.1434182723123623,1,-0.0026182186155496,1,-0.9813289103588436,1,1
vidourem,1,3,3,1,1,0,0,0,0.0,0.0,0.1424472441224452,1,-0.0001051541900238,1,-0.997455615334586,1,1
