people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
016K,4,20,7,4,3,0,0,0,0.0,507.3555555555556,0.1972306146061171,1,0.0393303257453112,1,-1.1490717005915383,1,1
1004789224,1,79,10,6,3,2,0,1,0.0,0.0,0.1945153232772046,1,0.0291939547452528,1,-1.7073421955940198,1,1
1725636955,1,1,1,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0002313318365594,1,-1.0,1,1
1993heqiang,3,3,6,3,3,0,0,0,0.6666666666666666,25561.791666666668,0.1279009651721784,1,-77.55068021498732,1,-87.02453488527067,1,1
1zg12,1,8,1,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0001716479012401,1,-2.4396177666214007,1,1
284831721,1,88,1,2,1,0,0,0,0.0,0.0,0.1963469834822798,1,0.0028970960849648,1,-0.9966171558905328,1,1
78356052,1,4,12,1,1,0,0,0,0.0,0.0,0.1968031267792511,1,-0.0001496659466937,1,-14531.557219290717,-1,1
ABKinging,2,402,2,12,2,0,0,0,0.0,6699.366666666667,0.19332322790253,1,0.1490840090281153,1,-2.0075452835126004,1,1
Abdullah8006,1,1,1,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0002313318365594,1,-1.0,1,1
AbstractCoderX,4,876,1489,117,4,0,0,0,0.0,22532.28888888889,0.1715894151638003,1,0.3995723259869805,1,-1.5905934344975892,1,1
AlexejTimonin,5,39,6,6,5,0,0,0,0.0,739.7291666666667,0.1958556548715063,1,0.0597392603339841,1,-1.6099116924055827,1,1
An1s9n,3,3,3,3,3,0,0,0,0.0,91.39166666666668,0.1972306146061171,1,0.0255767383260092,1,-1.0677707190244088,1,1
AntonLGVS,1,15,1,2,1,0,0,0,1.0,0.0,0.12148061726153,1,-79.80790629090086,1,-1.0028878075955452,1,1
Axzial,11,387,154,13,8,0,0,0,0.0,295.21,0.1840147168633719,1,0.0840030325392149,1,-1.2979866794743633,1,1
AzZureman,2,146,14,8,2,0,0,0,0.0,27702.85,0.19445389591915,1,0.2905800226582755,1,-1.3484697032354922,1,1
BFergerson,3,9,8,3,3,0,0,0,0.5,75526.8,0.1428001418282076,1,-66.28529184646416,1,-1.0677479295863863,1,1
Beca-se,1,2,0,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0002279062045573,1,-8444.707817406668,-1,1
Been24,1,6,2,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0001835937833476,1,-1973.7767180536025,1,1
BinGuo0717,7,159,0,13,7,0,0,0,0.0,1662.8,0.1942829867614103,1,0.1031391195968609,1,-1.2107619554858036,1,1
BryceYangS,1,3,3,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.000204071039036,1,-9281.36024458312,-1,1
Buzzardo,3,34,0,3,3,0,0,0,0.0,525146.5,0.1365833870002741,1,-56.897026478634295,1,-6.307941624832958,1,1
CodeInDreams,2,49,47,7,2,0,0,0,0.0,2698.1833333333334,0.1963441110116701,1,0.0728382382636709,1,-1.6596306080844392,1,1
DouglasCui,1,644742,428438,300,25,1812,1549,48,0.0,0.0,-0.1540212119808972,-1,-103.36740760004513,-1,-4.17177053450036,1,-1
Drezir,5,544,26,8,5,0,0,0,0.0,16519.841666666667,0.1938168161012513,1,0.2738127953616072,1,-1.5369048255931614,1,1
Dunemaster,1,2,2,2,2,0,0,0,0.0,0.0,0.1978652199677288,1,0.007627364373036,1,-3.375966305177676,1,1
Encyclopedias,3,223,84,21,8,39,0,5,0.0,4671.691666666667,0.1763936496098599,1,0.1850033683005705,1,-1.5542816650709004,1,1
EnricSala,3,265,186,19,6,0,0,0,0.0,0.4666666666666667,0.1923692013975894,1,0.0733467802221667,1,-1.5577905448513711,1,1
FlorianKirmaier,1,3,4,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0001989702592339,1,-11537.33741233574,-1,1
Frederick888,2,71,34,8,2,0,0,0,0.0,82.5,0.1963441110116701,1,0.0284825254069005,1,-1.0905385559127796,1,1
GatinMI,3,11,9,3,3,0,0,0,0.0,25079.775,0.1946406345315777,1,0.2842476811669314,1,-1.380317947669543,1,1
GrantFleming,1,1,1,1,1,0,0,0,1.0,0.0,0.1392283634995813,1,-79.80792722718519,1,-0.9995057444549004,1,1
GreenRecycleBin,1,24,18,1,1,0,0,0,0.0,0.0,0.1968031267792511,1,5.12482680079529e-05,1,-2.028302986250897,1,1
GungnirLaevatain,6,367,27,22,6,0,0,0,0.0,32210.70333333333,0.1893289648965764,1,0.3451212671982091,1,-1.2733900440932413,1,1
Hakky54,1,99,7,4,1,0,0,0,0.0,0.0,0.1979942137442352,1,0.0077223602084472,1,-1.7557746068169842,1,1
HubertWo,1,1,1,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0002313318365594,1,-1.0,1,1
IainJamesHenderson,1,2,5,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.000202398287854,1,-12375.464536012923,-1,1
Inmord,2,8,6,2,2,0,0,0,0.5,249.55,0.1526615384591562,1,-66.50360998628727,1,-1.0760928031591164,1,1
Jai1708,1,1,1,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0002313318365594,1,-1.0,1,1
JamesLiuft,3,46870,71992,604,23,211,347,27,0.0,15.908333333333337,0.0407499864523228,1,-17.185270175628077,1,-2.618709529793574,1,1
JiangTChen,2,24,0,2,2,0,0,0,0.0,144.18333333333334,0.1960716318762832,1,0.0152597633098281,1,-1.0497006910142277,1,1
Jinhui-Z,6,133,1,6,6,0,0,0,0.0,591.8033333333333,0.1946993425359203,1,0.0635800076846635,1,-1.410276279083701,1,1
Jirath-Liu,2,18,28,2,2,0,0,0,0.0,724.65,0.1953680285840812,1,0.0260877040105356,1,-1.072545604570593,1,1
KENNYSOFT,1,1,1,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0002313318365594,1,-1.0,1,1
KaidosGH,11,271,121,14,11,0,0,0,0.0,374.3,0.1826619179313574,1,0.0910994584554458,1,-1.4598010792532297,1,1
Koooooo-7,1,1,1,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0002313318365594,1,-1.0,1,1
L00kian,2,186,80,6,2,0,0,0,0.0,0.0,0.1948317525408768,1,0.0236388022433402,1,-1.098451565938495,1,1
LOG-INFO,3,56,21,3,3,0,0,0,0.0,13.025,0.1972306146061171,1,0.0246499762504299,1,-1.0680866255130677,1,1
Li0n13,1,29,1,2,1,0,0,0,0.0,0.0,0.1972551770447034,1,0.0023966973020037,1,-0.9976541960230806,1,1
MarkMarkyMarkus,3,194,30,6,3,0,0,0,0.0,1161.8916666666669,0.1972306146061171,1,0.0539412018006828,1,-1.0677666280290112,1,1
MaxBartkov,1,37,1,5,1,0,0,0,0.0,0.0,0.1979942137442352,1,0.0094782682692624,1,-2.527322913167817,1,1
Melancholic,1,63,0,2,1,0,0,0,0.0,0.0,0.1972551770447034,1,0.0026803207585004,1,-1.1325182033328918,1,1
MichalStehlikCz,1,6,2,2,1,0,0,0,1.0,0.0,0.1258582217682536,1,-79.80790641772954,1,-1.0028900955050422,1,1
MichelSchudel,1,59,9,2,1,0,0,0,0.0,0.0,0.1972551770447034,1,0.002692310993595,1,-1.1325182033328918,1,1
MichelTenVoorde,1,1,1,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0002313318365594,1,-1.0,1,1
Mikhail2048,2,15299,61961,302,12,208,236,23,0.0,1.6166666666666667,0.0707007245829878,1,-6.841751265744264,1,-2.88304992561787,1,1
NWuensche,1,1,1,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0002313318365594,1,-1.0,1,1
OlgaMaciaszek,3,1689,122,18,3,0,0,0,0.0,4060.45,0.1901628693769169,1,0.1408738555146413,1,-1.848103193791484,1,1
Rebwon,5,74,78,12,5,0,0,0,0.2,2519.9416666666666,0.1682116128026251,1,-14.76942513275192,1,-10.979749303641611,1,1
SaifAliKhan1,1,38,0,2,1,0,0,0,0.0,0.0,0.1972551770447034,1,0.0024681170999372,1,-0.9976163625818094,1,1
Sam-Kruglov,2,257,36,14,4,2,0,2,0.0,4788.45,0.1907336431645204,1,0.1453465070312773,1,-1.7719468842009607,1,1
SatsG,1,55,0,4,1,0,0,0,0.0,0.0,0.1979942137442352,1,0.0073140617417521,1,-1.730507980721676,1,1
SeaItFover,1,4,11,2,1,0,0,0,0.0,0.0,0.1978652199677288,1,0.0022347623892642,1,-1.8441151481436524,1,1
Shawyeok,1,91,4,3,2,1,0,1,0.0,0.0,0.1929448462202415,1,0.0173548684468869,1,-4.259496938805869,1,1
ShijunDeng,1,1,1,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0002313318365594,1,-1.0,1,1
ShinDongHun1,1,12,11,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-8.657352113061734e-05,1,-1.688932654925163,1,1
ShindongLee,6,180,16,16,6,0,0,0,0.0,4547.039999999999,0.1955200999470334,1,0.153115936171531,1,-1.147561036112191,1,1
Solyaris,1,1,1,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0002313318365594,1,-1.0,1,1
SonYoonSeok,1,14,0,2,1,0,0,0,0.0,0.0,0.1978652199677288,1,0.0022639006260476,1,-1.8110459729468649,1,1
Suthman,1,70,1,3,1,0,0,0,0.0,0.0,0.1979942137442352,1,0.0051084832013401,1,-1.057664387778502,1,1
Syuziko,1,1115,1121,36,1,0,0,0,0.0,0.0,0.1784736068377728,1,0.082257770889683,1,-3.199438293165562,1,1
T45K,1,1,1,1,1,0,0,0,1.0,0.0,0.1392283634995813,1,-79.80792722718519,1,-0.9995057444549004,1,1
TAKETODAY,2,2,2,2,2,0,0,0,0.0,1294.9333333333334,0.1960716318762832,1,0.0361473655371895,1,-1.090070815611011,1,1
ValentinShakhov,1,11,0,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0001511850948361,1,-2.4633745034463983,1,1
Xjzon,1,8,1,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0001716479012401,1,-2.4396177666214007,1,1
Xxpain,1,1,1,1,1,0,0,0,0.0,0.0,0.1978652199677288,1,-0.0002313318365594,1,-1.0,1,1
Yin-Jui,7,1534,795,130,15,56,54,6,0.0,3452.672222222222,0.1460541231354317,1,0.4202546985968496,1,-3.556595158920983,1,1
Yodag7354,1,22,0,1,1,22,0,1,0.0,0.0,0.1842439554666167,1,0.0065352240056171,1,-113.47868968819336,1,1
YooInKeun,4,55,81,4,4,0,0,0,0.0,42.78333333333333,0.1955226252094853,1,0.0358418251820324,1,-1.1626246768923476,1,1
