people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
284831721,1,0.0,0.0,28.08333333333333,0.0,0.2041782254350733,1,0.0003776494875928,1,-4.682874160790691,1,1
BrucessKING,2,0.0,0.0,67.88333333333334,76.63333333333334,0.1768942564549798,1,0.0371195908356298,1,-292.504543632401,1,1
DouglasCui,1,0.0,0.0,0.8333333333333334,0.0,0.2041782254350733,1,-5.0444105198721445e-05,1,-0.9925123966192368,1,1
Dynasty-develop,1,0.0,0.0,2.4166666666666665,0.0,0.2041782254350733,1,-2.55123458963169e-05,1,-1.0111882457355663,1,1
Encyclopedias,1,0.0,0.0,0.4166666666666667,0.0,0.2041782254350733,1,-5.700628010885112e-05,1,-0.9875976994833604,1,1
FlyingNewbie,1,0.0,0.0,18.216666666666665,0.0,0.2041782254350733,1,0.0002228895991471,1,-3.0904679844580847,1,1
Inmord,1,1.0,0.0,146.86666666666667,0.0,-0.1362594573024722,1,-15.275920968465575,1,-45435.70521347383,-1,1
Jervis-Miao,3,0.0,0.0,0.9944444444444444,7.699999999999999,0.160060608379424,1,0.0553400725158788,1,-654.0876103950166,1,1
JiangTChen,1,0.0,1.0,7207.266666666666,0.0,-0.0962786022944998,1,-14.915439382874297,1,-29738.58920008273,-1,1
LOG-INFO,1,0.0,0.0,29.28333333333333,0.0,0.2041782254350733,1,0.0003964527410786,1,-4.880271888138385,1,1
LuckerCxd,1,0.0,0.0,10.833333333333334,0.0,0.2041782254350733,1,0.000106899890131,1,-1.8735950831184347,1,1
SaifAliKhan1,1,0.0,0.0,6.95,0.0,0.2041782254350733,1,4.583176661299149e-05,1,-1.241010609260306,1,1
ShijunDeng,1,0.0,0.0,4.033333333333333,0.0,0.2041782254350733,1,-6.306773059350236e-08,1,-0.999860608800151,1,1
YooInKeun,2,0.0,0.0,23.266666666666666,31.566666666666663,0.1802390485043311,1,0.035105601936948,1,-292.183956219705,1,1
asgh,1,0.0,0.0,1.05,0.0,0.2041782254350733,1,-4.703196948341315e-05,1,-0.9950680391298924,1,1
bclozel,35,0.0285714285714285,0.0571428571428571,12138.233809523806,22770.97794117647,-0.0453391076942883,1,-5.364074556096728,1,-653.2136198374952,1,1
ben-enfuse-io,1,0.0,0.0,15608.05,0.0,0.1703530676682316,1,-0.1021041241741791,1,-1763.3534681082333,1,1
boerzi,1,0.0,0.0,1.0666666666666669,0.0,0.2041782254350733,1,-4.676950303661442e-05,1,-0.995264627015327,1,1
csiichao,1,0.0,0.0,0.3333333333333333,0.0,0.2041782254350733,1,-5.831877436790478e-05,1,-0.98681134794162,1,1
dan-codacy,1,0.0,0.0,0.7666666666666667,0.0,0.2041782254350733,1,-5.149401998849612e-05,1,-0.9917260450774966,1,1
dawn9117,1,0.0,0.0,3.983333333333333,0.0,0.2041782254350733,1,-8.500473605010939e-07,1,-1.000439465937702,1,1
dugenkui03,2,0.0,0.0,21637.85,4.083333333333333,0.1332405306789097,1,-0.2899033502775303,1,-1216.8723704179397,1,1
ganyinglong,1,0.0,0.0,5.833333333333333,0.0,0.2041782254350733,1,2.826346118922629e-05,1,-1.0813120095691215,1,1
ghostd,1,0.0,0.0,2559.4333333333334,0.0,0.1941988229674477,1,0.0309110439374045,1,-400.1488107072315,1,1
guyukou,1,0.0,0.0,0.2333333333333333,0.0,0.2041782254350733,1,-5.989379355852975e-05,1,-0.9891704025668406,1,1
htf1129,1,0.0,0.0,0.4,0.0,0.2041782254350733,1,-5.726877738254643e-05,1,-0.9874011115979252,1,1
huifer,1,0.0,0.0,0.1,0.0,0.2041782254350733,1,-6.199386341521063e-05,1,-0.9938885118172816,1,1
iotdeveloper-iotservice,1,0.0,0.0,0.35,0.0,0.2041782254350733,1,-5.8056273928741575e-05,1,-0.98681134794162,1,1
jhoeller,26,0.7692307692307693,0.1538461538461538,34567.51858974359,24730.174666666662,-0.1783080008922696,-1,-15.050086515930616,1,-999.0597291621164,1,1
lianyiwuming,1,0.0,0.0,1.3666666666666667,0.0,0.2041782254350733,1,-4.204524217854555e-05,1,-0.9988032089531582,1,1
lijinliangyihao,1,0.0,0.0,289953.4166666667,0.0,-0.0409139615055001,1,-15.61920797977812,-1,-16818.467286039402,-1,-1
liuhao0813,1,0.0,0.0,3.05,0.0,0.2041782254350733,1,-1.5541639534433216e-05,1,-1.0077183550627682,1,1
liweifan0616,1,0.0,0.0,9.383333333333333,0.0,0.2041782254350733,1,8.41026493922925e-05,1,-1.655873680779922,1,1
liwenzlw,1,0.0,0.0,0.6333333333333333,0.0,0.2041782254350733,1,-5.359388750036942e-05,1,-0.9901533419940158,1,1
marcingrzejszczak,1,0.0,1.0,70427.95,0.0,-0.139419804447279,1,-14.918111744145822,1,-14113.511403613396,1,1
mostcool,1,0.0,0.0,2.4833333333333334,0.0,0.2041782254350733,1,-2.446274411127547e-05,1,-1.011974597277307,1,1
pangwen,1,0.0,0.0,0.6166666666666667,0.0,0.2041782254350733,1,-5.385637449961678e-05,1,-0.989956754108581,1,1
poutsma,10,0.0,0.2,48950.48666666667,33905.007407407415,-0.0783066214696864,1,-7.173348261906956,1,-1769.5386342091356,1,1
rstoyanchev,46,0.2608695652173913,0.0217391304347826,14516.0634057971,15359.096666666666,-0.0614624117490674,1,-10.285233438116943,1,-1597.9537842211898,1,1
sarathkumar6,2,0.0,0.0,75.91666666666667,1147.6666666666667,0.1632268442437812,1,0.0641942138514757,1,-351.9833183380347,1,1
sbrannen,134,0.3955223880597014,0.0,9186.792537313437,5652.20827067669,-0.1508027785042711,-1,-15.55579792799171,-1,-642.7583279502354,1,-1
scruel,1,0.0,0.0,5.483333333333333,0.0,0.2041782254350733,1,2.2756247052058143e-05,1,-1.0034615898519612,1,1
sdeleuze,5,0.0,0.4,26577.436666666665,179870.575,-0.1949712374046711,-1,-15.607351490517566,-1,-1279.599419242351,1,-1
selfcoders,2,0.0,0.0,10.183333333333334,7.983333333333333,0.1844850277833983,1,0.0342065631679311,1,-335.2621068817187,1,1
snicoll,62,0.0,0.0161290322580645,18665.51048387097,12667.397540983604,-0.0529925298637773,1,-11.008583567917633,1,-961.4992196204896,1,1
szd1007,1,0.0,0.0,1.8666666666666667,0.0,0.2041782254350733,1,-3.417204317557321e-05,1,-1.00470084551621,1,1
trionfordring,1,0.0,0.0,17793.416666666668,0.0,0.1665047749384138,1,-0.1713984663944252,1,-1976.037202470468,1,1
tyc31316,3,0.0,0.0,44.33888888888888,9998.541666666666,0.1219412152991861,1,9.638186782012781e-08,1,-1884.6342332019035,1,1
vikeychen,1,0.0,0.0,6061.866666666667,0.0,0.1850070113039028,1,0.0429303825534788,1,-851.5491700454319,1,1
whalefall541,1,0.0,0.0,0.55,0.0,0.2041782254350733,1,-5.4906330390736e-05,1,-0.9891704025668406,1,1
wickedev,1,0.0,0.0,1021.8166666666668,0.0,0.1972365310483242,1,0.0145442617271527,1,-184.90619488676825,1,1
xbwjml,1,0.0,0.0,2676.5,0.0,0.1941988229674477,1,0.0318802818110377,1,-416.9653932820861,1,1
xixingya,3,0.0,0.0,1326.4944444444443,70566.09166666667,0.0058643114418356,1,-9.675764307379492,1,-6597.101049087828,1,1
yvanme,2,0.0,0.0,0.2666666666666666,1.4,0.1878610448215493,1,0.0338554786613976,1,-400.8219245577188,1,1
