people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
1004789224,1,1,1.0,1248.0,397151.1166666666,0.0,-0.0990625350346848,1,-12.061740564837567,-1,-5.321148281327341,-1,-1
1zg12,1,1,1.0,25.0,1060.0333333333333,0.0,0.1743105032563488,1,-0.0168014630985151,1,-0.981996465808195,1,1
AbstractCoderX,1,2,2.0,85.0,82.66666666666667,0.0,0.163115617955988,1,1.5312897291524037,1,-1.2475158070949557,1,1
Aelykto,1,2,2.0,113.0,542.6833333333333,0.0,0.1638672037328604,1,1.628591042988571,1,-1.1859534418569675,1,1
AlexejTimonin,1,2,2.0,71.5,2570.4666666666667,0.0,0.1585427024106762,1,1.5386234247865662,1,-1.2500718561697033,1,1
AntonLGVS,1,3,3.0,142.33333333333334,5690.216666666666,0.0,0.1522709577243148,1,1.3990417697335626,1,-1.0577312697268697,1,1
Axzial,1,5,5.0,16.6,1488.1833333333334,0.0,0.0749788864101643,1,-2.649310461084138,1,-1.5663702221043427,1,1
BryceYangS,1,1,1.0,42.0,8761.2,0.0,0.1690728137273353,1,0.218112732894582,1,-0.9904249562733138,1,1
Drezir,1,3,3.0,42.0,39442.45,0.0,0.1168338995002778,1,1.2465235247764674,1,-1.1260918467156185,1,1
EnricSala,1,7,7.0,418.4285714285714,1.75,0.0,-0.0486852904059392,1,-8.649359332977784,1,-2.1622403727092707,1,1
JarvisCraft,1,3,3.0,65.33333333333333,20.566666666666663,0.0,0.1511639869065337,1,1.0658837506782746,1,-1.059002071591843,1,1
JiangTChen,1,2,2.0,153.0,1358.3,0.0,0.1621234267276449,1,1.7177564954333633,1,-1.2634534673308508,1,1
KaidosGH,1,4,4.0,210.25,1120.9666666666667,0.0,0.1233462323471183,1,-0.114566612243431,1,-1.3719975784847505,1,1
MaxBartkov,1,1,1.0,161.0,4565.233333333334,0.0,0.1714918414169144,1,0.4571307894643137,1,-0.9984006559985188,1,1
