people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
Etsukata,19,1754,619,59,36,0,0,0,1.0,7741.289814814813,-0.0585060654379459,1,0.0826782427641674,1,-1.003567293846697,-1,1
PiMaker,10,1373,152,35,27,0,0,0,1.0,7.294444444444445,0.0452208289928567,1,-0.0494082395388684,1,-1.002263085185822,1,1
ThomasLamprecht,3,31,6,3,3,0,0,0,1.0,248.26666666666668,0.1553928202523475,1,0.0153560889904316,1,-1.0005329002520105,1,1
andreabolognani,12,24,245,21,19,0,2,1,0.75,35641.375757575755,-0.0669049616466812,1,-1.1654757384926473,1,-0.999534348103422,1,1
baloo,1,0,15,2,2,0,3,1,0.0,0.0,-0.0257601157042144,1,-0.0652895836448532,1,-0.9988316982286224,1,1
develoot,1,1,1,1,1,0,0,0,0.0,0.0,0.1218947143395115,1,0.0001996731290452,1,-0.9973481605644356,1,1
diabonas,3,36,36,3,3,0,0,0,1.0,18952.216666666667,0.1187995950888072,1,-0.0001929341781172,1,-0.9998759437306984,1,1
elmarco,6,237,52,47,39,0,0,0,1.0,24129.06,0.055869250707894,1,-0.3589360407269852,1,-1.0003476451625362,1,1
franciozzy,1,21,21,2,1,0,0,0,1.0,0.0,0.1609782603087148,1,-0.0001930090420829,1,-1.0004697304081205,1,1
iccaszhulili,3,6,6,6,3,0,0,0,1.0,278.975,0.1489504998825533,1,0.017105496540382,1,-1.000545387473016,1,1
kkamagui,2,71,31,19,11,0,0,0,1.0,15361.166666666666,0.1162370485022356,1,0.1714842922914652,1,-1.0003866990269956,1,1
kloczek,17,87,155,17,17,0,0,0,0.8333333333333334,4140.115625,0.0818129503501703,1,0.6087766128512193,1,-1.0013133001966112,1,1
lvoytek,1,45,0,4,4,0,0,0,1.0,0.0,0.1563862899044388,1,0.0012382555405974,1,-1.0005083565901982,1,1
nabijaczleweli,1,1,1,1,1,0,0,0,1.0,0.0,0.1604964916482794,1,-0.0014916005266778,1,-1.0004198411467675,1,1
nchevsky,13,238,248,80,60,0,0,0,0.9230769230769232,7200.0,0.0325649480516416,1,0.4020800838990537,1,-1.002490646543495,1,1
nicowilliams,1,335,82,6,3,0,0,0,1.0,0.0,0.1180963609958214,1,0.0054329813047626,1,-1.000811806320783,1,1
stefanberger,325,10775,4935,734,609,19,21,11,0.9597701149425288,2635.266306584362,-0.3347796576746114,-1,-4.253360240312936,-1,-0.9973474462863712,1,-1
tbaederr,1,2,0,1,1,0,0,0,0.0,0.0,0.1208742191064794,1,0.0001863211496724,1,-0.9973474462863712,1,1
vorlonofportland,14,286,223,24,24,0,0,0,0.0,19607.884615384617,0.0232482548778222,1,-0.357079330590917,1,-0.997783797893729,1,1
williamcroberts,2,6,24,2,2,1,0,1,0.0,220.4,-0.0077078101520297,1,-0.0046881784719641,1,-0.998329891156804,1,1
