people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
Etsukata,7,23,3.2857142857142856,54.08695652173913,3947.2261904761904,0.16,-0.0326591348273194,1,7.91582429069404e-05,1,-0.9955703818145696,1,1
PiMaker,2,7,3.5,147.85714285714286,35112.05,0.0,0.0610328297983712,1,0.1819415832518987,1,-1.015294538783358,1,1
ThomasLamprecht,1,3,3.0,86.33333333333333,279.03333333333336,0.0,0.1180254703992252,1,0.1113610669432401,1,-1.0104580274604529,1,1
berrange,1,1,1.0,393.0,86.45,0.0,0.0339014732911739,1,7.916888961778668e-05,1,-0.9922455727277708,1,1
cpaelzer,1,1,1.0,365.0,229889.55,0.0,-0.0594159706463189,1,-0.1465606281404881,1,-0.978936712822073,1,1
elmarco,5,35,7.0,95.97142857142858,1216.7033333333334,0.0,-0.0062424870466021,1,-0.0080051738767528,1,-1.0001048575928673,1,1
kkamagui,1,1,1.0,136.0,1373.7333333333331,0.0,0.1133827142366209,1,0.1191935417474416,1,-1.002358986195817,1,1
nchevsky,5,20,4.0,178.9,422.45666666666665,0.0,0.0611855942021817,1,0.1735818883161739,1,-1.023211503147396,-1,1
nicowilliams,1,3,3.0,71.66666666666667,194.1,0.0,0.1123484645352297,1,0.0801415398028524,1,-1.0101639845999142,1,1
pksnx,2,3,1.5,68.66666666666667,4210.041666666666,0.1666666666666666,-0.0036577328700038,1,-9.499906657817192e-05,1,-0.9928216620564017,1,1
stefanberger,21,119,5.666666666666667,136.05882352941177,4465.389682539683,0.0204081632653061,-0.1533337282110511,-1,-0.221525998762768,-1,-0.978936712822073,1,-1
vorlonofportland,1,1,1.0,74.0,3917.133333333333,0.0,0.1057473299457256,1,-6.338000272210209e-05,1,-1.0017436379174935,1,1
