people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
532910,2,9,6,2,2,0,0,0,0.0,428.3,0.1972453344291748,1,0.3145898569212164,1,-1.00934765872251,1,1
91khr,5,19933,16151,226,20,0,0,0,0.0,3121.858333333333,0.029611284185964,1,-0.1024637714156142,1,-3.3151198257993078,1,1
A1Liu,3,44,10,8,4,0,0,0,0.0,2465.425,0.1954691523993758,1,0.877184798320485,1,-1.3138395400056315,1,1
AndyGozas,6,130,57,7,7,0,0,0,0.0,1113.4633333333331,0.1832276485869982,1,0.7870757763093792,1,-1.4316835756315718,1,1
AnonymusRaccoon,1,4,0,2,1,0,0,0,0.0,0.0,0.1992737479153801,1,0.0002172515309126,1,-12.22140191370958,1,1
ArchangeGabriel,1,6,2,1,1,0,0,0,0.0,0.0,0.1992737479153801,1,-1.040187869705278e-05,1,-1.7174495623260913,1,1
Aster89,1,1,0,1,1,0,0,0,0.0,0.0,0.1992737479153801,1,-6.790684905411126e-05,1,-6439.349092706753,1,1
Bakudankun,6,147,16,16,10,0,0,0,0.0,8279.273333333333,0.1799618213156297,1,1.8672309846568425,1,-1.4522015061025009,1,1
BonaBeavis,3,28,2,4,3,0,0,0,0.0,4951.133333333333,0.1964920527275252,1,1.2750741595010169,1,-1.7039945609659366,1,1
Bruno-366,1,2,0,1,1,0,0,0,0.0,0.0,0.1992737479153801,1,-6.055221480494311e-05,1,-3115.3343348018607,1,1
C0rn3j,1,14,14,2,1,0,0,0,0.0,0.0,0.1992737479153801,1,0.0004353801955261,1,-3.221886342277652,1,1
Cimbali,11,299,72,17,13,0,0,0,0.0,0.0066666666666666,0.1668788051750111,1,-0.3187127705750328,1,-1.652085448546296,1,1
EdwarDu,1,1,1,1,1,0,0,0,0.0,0.0,0.1992737479153801,1,-5.75247824770031e-05,1,-1.0,1,1
EgZvor,1,6,0,1,1,0,0,0,0.0,0.0,0.1992737479153801,1,-3.1159820011339434e-05,1,-2.177184424854872,1,1
FoamScience,1,71,0,3,1,0,0,0,0.0,0.0,0.1970985415932544,1,0.0009566600869419,1,-1.573575006422851,1,1
FredericHamel,1,62,4,1,1,0,0,0,0.0,0.0,0.1985744937407514,1,0.0004174360539508,1,-4.809199295491127,1,1
Gee19,1,2,1,1,1,0,0,0,0.0,0.0,0.1992737479153801,1,-5.017013093322476e-05,1,-7852.818354196114,-1,1
GitMensch,29,8790,4424,135,37,0,0,0,0.0,17816.086309523813,0.0787713733598378,1,-12.70523628007274,1,-1.9845685481851536,1,1
Gumnos,4,38,36,4,4,0,0,0,0.0,1.1333333333333333,0.1935531298194187,1,0.5079309660532658,1,-1.2659122603686217,1,1
H4niz,2,12,2,2,2,0,0,0,0.0,177.25,0.1972453344291748,1,0.2632153466978479,1,-0.9986437330274603,1,1
HarmtH,1,1,0,1,1,0,0,0,0.0,0.0,0.1992737479153801,1,-6.790684905411126e-05,1,-6439.349092706753,1,1
Jakuje,2,17,5,4,3,0,0,0,0.0,245.31666666666663,0.196908341848359,1,0.2815913091329207,1,-1.0042715330817344,1,1
JoeBroesele,1,2,2,1,1,0,0,0,0.0,0.0,0.1992737479153801,1,-3.97944109238324e-05,1,-10049.778822580794,-1,1
JohnoKing,1,15,2,1,1,0,0,0,0.0,0.0,0.1992737479153801,1,5.5578386152888015e-05,1,-2.778969277344685,1,1
JosefLitos,10,191,187,9,9,0,0,0,0.0,659.2148148148149,0.1709866474842041,1,0.1084075436806841,1,-1.4962717046905776,1,1
Kamilcuk,1,4,4,1,1,0,0,0,0.0,0.0,0.1992737479153801,1,-4.360498309097238e-06,1,-1.884558882883296,1,1
KnoP-01,26,4150,1074,209,48,0,0,0,0.0,699.4206666666668,0.106550985439995,1,-11.135334169052214,1,-2.3072813719834926,1,1
