people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
FredericHamel,1,0.0,0.0,36807.91666666666,0.0,0.086474833121693,1,-0.2868657315600229,1,-0.9986294228679846,1,1
GitMensch,2,0.0,0.0,99913.08333333334,11200.533333333333,-0.0878867932592716,1,-3.2527818913737496,1,-2.42025063507183,1,1
HarmtH,1,0.0,0.0,0.8,0.0,0.1677732700831389,1,-0.0018722708656619,1,-0.9921899072250066,1,1
KnoP-01,1,0.0,0.0,1037.2,0.0,0.1676835681260433,1,0.0453724206831021,1,-0.9937203634228156,1,1
LemonBoy,4,0.0,0.0,6008.441666666667,9483.322222222225,0.1144457601000328,1,0.3293461492318279,1,-0.9994036246736864,1,1
Soveu,1,0.0,0.0,11061.516666666666,0.0,0.1369208658355784,1,0.3250938144939272,1,-1.0016230849838652,1,1
arp242,2,0.0,0.5,612.4083333333333,19356.766666666663,0.0105552146837095,1,-0.7477321839429028,1,-1.4529685788056237,1,1
atomicstack,1,0.0,0.0,139.78333333333333,0.0,0.1689895630004068,1,0.0046553602396883,1,-0.9923951444923668,1,1
bbolli,1,0.0,0.0,21508.283333333333,0.0,0.1092339895400115,1,0.2770737758777155,1,-1.0132111631007246,1,1
bhcleek,1,0.0,0.0,92008.48333333334,0.0,-0.0396589437640988,1,-2.971319344887427,1,-2.240337202296102,1,1
brammool,869,0.0,0.0080552359033371,3470.5573456079787,902.9385752688175,-0.1823161663213006,-1,-4.749962655018953,-1,-2.8284196728607656,-1,-1
cecamp,2,0.0,1.0,1616.2583333333332,305421.36666666664,-0.2014569945886775,-1,-4.7831987784854295,-1,-3.043709617402394,-1,-1
chrisbra,14,0.0,0.0,9929.51547619048,56047.86153846154,-0.0062083526866449,1,0.3995052387977615,1,-1.0033769560397576,1,1
dkearns,1,0.0,0.0,14.65,0.0,0.1677732700831389,1,-0.0012191245762647,1,-0.992210359577708,1,1
dpelle,1,0.0,0.0,18726.13333333333,0.0,0.1204051331170886,1,0.3216384542456918,1,-1.0103552394396869,1,1
drichardson,1,0.0,0.0,223.25,0.0,0.1695252592445468,1,0.0085470811641616,1,-0.992518400066769,1,1
dundargoc,8,0.0,0.0,350.28541666666666,48781.93333333333,0.0717323598802207,1,0.11231448938421,1,-0.9890955492312508,1,1
dvogel,2,0.0,0.0,39911.66666666666,62064.583333333336,0.0102642015514352,1,-0.2910563267465358,1,-1.122860958091585,1,1
erw7,1,0.0,1.0,61.23333333333333,0.0,-0.0264444637109567,1,-1.993385631322614,1,-2.369794547821124,1,1
flarn2006,1,0.0,1.0,175.66666666666666,0.0,-0.0030803018365741,1,-1.9932065397414809,1,-2.369769030190935,1,1
goolord,1,0.0,0.0,62.266666666666666,0.0,0.1689895630004068,1,0.0010219308449546,1,-0.9922806753077534,1,1
ichizok,1,0.0,0.0,2513.983333333333,0.0,0.1625151768529489,1,0.1069098000466954,1,-0.9945936161656136,1,1
jackieli-tes,1,0.0,0.0,18.83333333333333,0.0,0.1677732700831389,1,-0.0010219599428955,1,-0.9922165371234696,1,1
k-takata,5,0.0,0.0,5790.463333333333,107062.9375,0.0274188041578969,1,-0.6860384629142642,1,-1.031850089099001,1,1
liamvdv,1,0.0,0.0,243.8,0.0,0.1698371517792204,1,0.009501965730517,1,-0.992548746337384,1,1
mityu,1,0.0,0.0,3168.2166666666667,0.0,0.1602317346830755,1,0.1319688553128406,1,-0.9946746759452396,1,1
obcat,1,0.0,0.0,627.95,0.0,0.1680619027494667,1,0.0271127828422095,1,-0.9931160222428144,1,1
pheiduck,6,0.0,0.5,1425.225,3734.053333333333,0.0087101845469592,1,-0.7656698218035558,1,-1.4472599573381486,1,1
puremourning,1,0.0,1.0,154.51666666666668,0.0,0.0037497696694495,1,-1.9932367140865463,1,-2.3697735747404325,1,1
tchebb,1,0.0,0.0,5393.916666666667,0.0,0.1531683977551716,1,0.2069399872689841,1,-0.9948161074681116,1,1
yegappan,4,0.0,0.0,35406.620833333334,130235.26666666666,-0.0723059760396443,1,-1.3907678207085157,1,-1.380915607508788,1,1
zeertzjq,16,0.0,0.0,143.54791666666668,21143.380000000005,0.024849984849759,1,0.1634021238558238,1,-0.9913867625367392,1,1
