people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
AssuncaoAndre,1,1,1.0,39.0,1152.5833333333333,0.0,0.1612862747534657,1,-5.5490414041514675e-08,1,-0.9795504630731304,1,1
GitMensch,3,7,2.333333333333333,152.71428571428572,594.4722222222223,0.0,0.1190587409210499,1,0.9970300220595192,1,-1.1939567385913117,1,1
Gumnos,1,1,1.0,175.0,3030.583333333333,0.0,0.1502010372684628,1,0.473763886349678,1,-0.9888915817932044,1,1
IzhakJakov,1,1,1.0,5.0,543.9,0.0,0.1476615775743145,1,-0.2842568408600847,1,-0.9752087840699936,1,1
Kocha,1,2,2.0,49.5,911.2166666666668,0.0,0.1507947365721372,1,0.5571524673919672,1,-1.1055231173578384,1,1
LemonBoy,10,21,2.1,164.0,47780.73333333334,0.0,-0.0501294382229418,1,-3.627371363271732,1,-1.952997813738954,1,1
Shane-XB-Qian,3,6,2.0,171.16666666666666,1894.45,0.0,0.1237473549272817,1,1.4009630478178394,1,-1.1337965831737598,1,1
Shougo,2,3,1.5,7.666666666666667,7520.466666666666,0.0,0.1032638863164839,1,0.5363742197587698,1,-1.0423660175213805,1,1
andmis,1,1,1.0,4.0,181.85,0.0,0.1444167820822217,1,-0.2971549359394032,1,-0.976238004639411,1,1
bfredl,1,1,1.0,81.0,24.7,0.0,0.1614540301025828,1,0.2421419331576046,1,-0.9905614866738232,1,1
bfrg,1,2,2.0,291.0,277.93333333333334,0.2,0.0175043476814913,1,-0.4105148112170482,1,-1.2702256135308228,1,1
bhcleek,1,1,1.0,249.0,15474.616666666669,0.0,0.1019596734783059,1,0.2980965460670592,1,-0.9959746317461756,1,1
bitigchi,1,1,1.0,100.0,196.15,0.0,0.1598308689599969,1,0.3258454178678658,1,-1.0104436696395478,1,1
bobrippling,1,1,1.0,104.0,0.4833333333333333,0.0,0.1588650966994271,1,0.3380288542075984,1,-1.0113446704960896,1,1
brammool,5,7,1.4,230.1428571428572,82225.47333333333,0.0,-0.002864852190212,1,-1.682402537931969,1,-1.7845769081935985,1,1
chrisbra,14,31,2.2142857142857144,73.38709677419355,1683.0726190476191,0.0333333333333333,-0.0913617234215931,1,-5.083464398649442,1,-2.4304385738096053,1,1
cwfoo,2,8,4.0,253.75,14450.15,0.0,0.0295140225197648,1,-2.372402078637106,1,-1.663389162514211,1,1
dbarnett,1,1,1.0,299.0,15447.3,0.0,0.0945575200794828,1,0.0203109663896725,1,-1.133550900533333,1,1
demostanis,1,1,1.0,6.0,214.4,0.0,0.1474502458950175,1,-0.2786488729287573,1,-0.9744351675008288,1,1
dkearns,6,8,1.3333333333333333,131.25,67296.5638888889,0.0,0.0074521619006987,1,-1.3446686797385006,1,-1.7283509991067585,1,1
dpelle,23,31,1.3478260869565215,213.25806451612905,808.1644927536233,0.0,-0.1239672312582521,-1,-6.6314683403108585,1,-3.034052167016284,-1,-1
dreua,2,6,3.0,184.8333333333333,668.6083333333333,0.0,0.1089881060904818,1,-8.400711060119194e-08,1,-1.2770664953392648,1,1
