people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
BbolroC,22,204,190,50,48,0,0,0,0.5,3368.169841269842,-0.0306405287709917,1,-0.443404013065015,1,-1.0113079553283513,1,1
KhungLongCuBu,2,44,0,8,6,8,0,2,0.0,0.0,0.1152253667538029,1,0.0809201603057983,1,-0.9971275505372422,1,1
Sa1Gur,1,1,1,1,1,0,0,0,1.0,0.0,0.1580940147556572,1,-2.215578698283593e-08,1,-0.998499068856275,1,1
TheAschr,1,2,2,1,1,0,0,0,0.0,0.0,0.1461106253970506,1,-0.0035205456687874,1,-0.9950803842707328,1,1
aegliv,1,1,1,1,1,1,1,1,1.0,0.0,0.1482339633720593,1,0.0048459597112278,1,-0.9987937266490496,1,1
coheigea,1,1,1,1,1,1,1,1,0.0,0.0,0.1477342285808547,1,-1.6594441820672046e-08,1,-0.9953583666671322,1,1
cuishuang,1,6,6,5,3,0,0,0,1.0,0.0,0.1416200613028927,1,0.0269351837723421,1,-0.9990487441398146,1,1
dwelch2344,1,5431,6,49,5,249,0,5,0.0,0.0,-0.0802398227987764,1,-1.419886101218386,1,-1.0011314503784197,1,1
jcchavezs,30,1106,275,145,72,292,142,51,0.8571428571428571,5045.884482758622,-0.2198832513174907,-1,-1.9381099062460756,-1,-0.9950803842707324,1,-1
jonkerj,10,524,60,42,17,253,2,6,0.6666666666666666,17233.981481481478,-0.0403204106266525,1,-0.6481301437068687,1,-1.0123187391396555,-1,1
llinder,17,174,112,61,38,45,45,31,1.0,26275.733333333337,-0.1075123037148562,1,-1.2065282551175835,1,-1.0081078933898588,1,1
loekalive,1,433,0,12,3,0,0,0,1.0,0.0,0.0988511672742711,1,0.0349488255573708,1,-0.9996344945999956,1,1
minwoox,1,14,21,2,2,10,10,1,0.0,0.0,0.0570599935809035,1,0.015766649667098,1,-0.9964286674584054,1,1
rswst8,4,11,11,5,5,9,9,3,0.0,4257.738888888889,0.0302652847071319,1,0.0867572519632369,1,-0.9984076087453648,1,1
sgc109,1,1,1,1,1,0,0,0,1.0,0.0,0.1580940147556572,1,-2.215578698283593e-08,1,-0.998499068856275,1,1
tacigar,15,1909,2494,65,27,38,0,2,0.25,10217.345238095237,-0.1143481493239182,1,-1.108077801557375,1,-1.0049069876796295,1,1
uzshao,1,31,0,1,1,31,0,1,1.0,0.0,0.1120212474727572,1,0.0267359728162297,1,-0.9997026256397532,1,1
vy8,1,12,5,2,1,0,0,0,0.0,0.0,0.1465710525742568,1,0.0011056086589253,1,-0.9951495923816376,1,1
zhfeng,1,5,4,3,2,2,2,2,0.0,0.0,0.1309093491824178,1,0.0157559556606852,1,-0.9958984285601856,1,1
