people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
BbolroC,1,12,12.0,1247.8333333333333,39982.93333333333,0.0,-0.127742828346298,1,-0.2558908976920198,1,-0.9913090870975978,1,1
codefromthecrypt,1,2,2.0,62.5,5.1,0.6666666666666666,0.0597669015786548,1,0.0337378696356556,1,-0.9963119577784224,1,1
jcchavezs,8,16,2.0,104.25,40277.26874999999,0.4,-0.1100160675707396,1,-0.2133206185211711,1,-0.9913090870975978,1,1
jeqo,1,3,3.0,104.0,13299.433333333332,1.0,0.0195593323003271,1,-0.0782995253371845,1,-0.9913932624216923,1,1
jonkerj,2,2,1.0,175.5,61091.18333333333,0.0,0.0954982814318795,1,0.1351214543211019,1,-1.0076242872872208,1,1
llinder,3,4,1.3333333333333333,174.0,17974.477777777778,0.0,0.0552689279088765,1,-1.0949276818550402e-08,1,-1.0116258314258717,1,1
mrfelek,1,2,2.0,79.5,20156.9,0.0,0.1334646645325573,1,0.069519178754283,1,-1.0087866455854515,1,1
priyavivek2307,1,1,1.0,51.0,4503.75,0.0,0.1326454965165948,1,2.706866508717098e-09,1,-1.0003029470504268,1,1
shakuzen,1,1,1.0,220.0,7289.066666666667,0.0,0.1266830015437048,1,0.0120841348133655,1,-1.0068991480087637,1,1
vy8,1,1,1.0,380.0,172396.9,0.0,0.0082150656885813,1,-0.070990072948772,1,-0.9949611425136492,1,1
