people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
0ric1,4,42,42,4,4,41,41,3,0.0,25.71666666666667,-0.2227303096530181,-1,-13.467050975766393,-1,-171.86970544202853,-1,-1
Adenilson,1,2,38,1,1,0,0,0,0.0,0.0,0.1934808949778572,1,0.0011910153335961,1,-1.008714860073319,1,1
Alkebsi,2,8,9,2,2,0,0,0,0.0,5.95,0.1763583228118518,1,0.0156296185502053,1,-1.5254701907249042,1,1
FireBurn,1,8,0,2,1,0,0,0,0.0,0.0,0.1956824951943582,1,0.0115204531579156,1,-0.9968335977404792,1,1
FnControlOption,1,1,1,1,1,0,0,0,0.0,0.0,0.2038504418770825,1,-0.0002401322228084,1,-0.9883829558665846,1,1
Tythos,1,1,1,1,1,0,0,0,0.0,0.0,0.2038504418770825,1,-0.0002401322228084,1,-0.9883829558665846,1,1
WildCard65,2,418,211,8,7,50,0,1,0.0,0.0,-0.0861706767028388,1,-13.258658699152647,1,-127.0237144189596,1,1
adrianimboden,1,2,7,2,2,0,0,0,0.0,0.0,0.1931979793405741,1,0.015881989981608,1,-1.013381130534772,1,1
ahunt,1,5,0,1,1,0,0,0,0.0,0.0,0.2045325818224225,1,0.0002394683159785,1,-0.988410400344857,1,1
dbezhetskov,1,2,0,1,1,0,0,0,0.0,0.0,0.2042414368566725,1,-0.0001520074363803,1,-0.9883926293673682,1,1
emaste,1,100,100,1,1,0,0,0,0.0,0.0,0.1583560035976031,1,0.0141628433065683,1,-1.034227308061812,1,1
eugenegff,1,41,75,1,1,0,0,0,0.0,0.0,0.1748463437502935,1,0.0069219973319398,1,-1.0143438354432983,1,1
fmayer,1,3,1,1,1,0,0,0,0.0,0.0,0.203668267721931,1,2.136759177062686e-05,1,-0.9884194007555198,1,1
fredgan,1,13,3,2,2,0,0,0,0.0,0.0,0.1934412507717879,1,0.0171527884037256,1,-1.0135331197802029,1,1
gvollant,4,16,6,4,4,0,0,0,0.0,42511.26666666667,0.0556761017313812,1,-3.9358325402118233,1,-39.55751558989808,1,1
ied206,2,6,14,2,2,0,0,0,0.0,16.283333333333335,0.1736108015404095,1,0.0159053573096237,1,-1.5270865312760655,1,1
kaoh,1,2609,1,11,6,0,0,0,0.0,0.0,0.0589289478552456,1,-0.2154808522565936,1,-12.085215480837514,1,1
ken-matsui,1,1,1,1,1,0,0,0,0.0,0.0,0.2038504418770825,1,-0.0002401322228084,1,-0.9883829558665846,1,1
kouzhudong,1,2853,0,11,5,0,0,0,0.0,0.0,0.064389928713548,1,-0.2869320872470169,1,-12.812553074413596,1,1
kraj,1,6,6,1,1,0,0,0,0.0,0.0,0.2043477561389097,1,0.0006199640618369,1,-1.0088323143898152,1,1
