people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
2k0ri,3,129,17,4,3,0,0,0,0.0,532.4916666666667,0.2063905668014198,1,0.2024598917907241,1,-2.8932857717391838,1,1
AnanyaSingh2121,8,786,242,55,14,102,91,12,0.0,43323.55714285715,0.0909500017511535,1,0.3967259300811037,1,-1.6721870704739512,1,1
BinyuHuang-nju,23,57373,45984,783,641,727,459,24,0.0,14801.55984848485,-0.2787960989028798,-1,-54.14872015274453,-1,-10.31627898762258,-1,-1
BukrosSzabolcs,4,270,32,9,9,25,1,2,0.0,5862.8388888888885,0.1897748562459859,1,0.5855282874839887,1,-1.62634643792431,1,1
Colvin-Cowie-i2,3,18,4,4,3,0,0,0,0.0,1887.85,0.2080398603118146,1,0.209947085453372,1,-2.9147904742253625,1,1
DimasKovas,3,8,10,3,3,0,0,0,0.0,0.0,0.208229081230963,1,0.1497105435856269,1,-3.1297011458288857,1,1
HoustonPutman,2,16,2,3,2,0,0,0,0.0,78.28333333333333,0.2093336574530162,1,0.0101980965906562,1,-1.0054772605723747,1,1
Icysandwich,2,44,30,2,2,0,0,0,0.0,10.116666666666667,0.2068431981406963,1,0.0135540685860249,1,-1.0148696036457758,1,1
JustCallMeFeng,2,2,2,2,2,2,2,2,0.0,0.0,0.1915215510190473,1,0.0372578276736561,1,-2.854790190095641,1,1
KangZhiDong,21,4157,1277,198,46,200,142,30,0.0,19892.299166666668,0.0270938992758247,1,-7.676060296388471,1,-2.09776391622597,1,1
LuoManGit,1,1,1,1,1,0,0,0,0.0,0.0,0.2047789824178301,1,-0.1786511808127286,1,-0.9974723888391654,1,1
MathewManu,2,384,29,12,6,0,0,0,0.0,60203.45,0.1853691008584274,1,-0.6376915534158982,1,-2.794890423304455,1,1
MiLan102,1,331,10,8,1,0,0,0,0.0,0.0,0.1948597685215927,1,-0.0754696802613708,1,-2.58498153081936,1,1
MikeEdgar,2,186,12,3,2,0,0,0,0.0,0.0,0.2066026703813993,1,0.0524148350464912,1,-1.9819282905785969,1,1
MuktiKrishnan,25,2253,119,56,32,0,0,0,0.0,2274.565972222222,0.1379792025117135,1,-4.439685880349373,1,-2.043275994314144,1,1
NihalJain,2,17,1,3,3,1,0,1,0.0,202.7,0.202134979413755,1,0.0517311506627038,1,-1.857290864789098,1,1
Oliverwqcwrw,2,4,1,2,2,0,0,0,0.0,4126.166666666667,0.2090056833520621,1,0.111100705682297,1,-3.098450784846067,1,1
Randgalt,5,1862,114,52,10,461,2,15,0.0,273824.25416666665,0.0119086241292802,1,-31.29719418021744,1,-4.73721182325031,1,1
Reidddddd,2,98,10,4,2,0,0,0,0.0,0.0,0.2064393817209869,1,0.0343528761183122,1,-1.1549119763702858,1,1
Shoothzj,5,19,9,8,7,5,5,4,0.2,90728.18333333332,0.0127992812723591,1,-54.06937732182545,-1,-30.06442194129556,-1,-1
StuporHero,9,824,455,46,14,0,0,0,0.0,400.26666666666665,0.1643915823127594,1,0.542319698170644,1,-1.565359667118782,1,1
Vinayvinayu,1,0,2,1,1,0,0,0,0.0,0.0,0.2042808671511856,1,-0.1788864933442013,1,-0.997469648985754,1,1
Winbobob,2,22,9,2,2,0,0,0,0.0,8013.583333333333,0.2079538166224606,1,0.1984525078576666,1,-4.222246612853434,1,1
abhilash1in,5,55,0,5,5,0,0,0,0.0,4676.545833333334,0.2010018698194777,1,0.4900211610006906,1,-1.5688620523543748,1,1
abhishek-chouhan,2,94,8,4,2,0,0,0,0.0,0.0,0.2066026623015773,1,0.0332090483099634,1,-1.1215518453395945,1,1
