people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
AnanyaSingh2121,2,0.0,0.0,59213.26666666667,119666.45,-0.0228094693026227,1,-0.4429333335021073,1,-0.9944856325541526,1,1
MuktiKrishnan,1,0.0,0.0,10215.316666666668,0.0,0.1403695883152735,1,0.2407428510311313,1,-1.000156489261491,1,1
Shoothzj,4,0.0,0.0,50250.27916666667,179172.27777777778,-0.0542748832864029,1,-0.9729075004789872,1,-1.0572287828729965,1,1
Vinayvinayu,1,0.0,0.0,6.35,0.0,0.1551947446112298,1,-0.0002856659164169,1,-0.9969468944506648,1,1
anmolnar,1,0.0,0.0,1942.45,0.0,0.1460902280313171,1,0.0650933254299936,1,-0.9980709268657986,1,1
arshadmohammad,18,0.0,0.2777777777777778,44497.55833333333,36468.56372549019,-0.0413791976915834,1,0.0005712455901734,1,-1.013078073645615,1,1
asfgit,52,0.0,0.25,19131.03076923077,15147.64313725491,-0.1043363033615761,1,-1.8767079681103176,1,-1.0103681770344948,1,1
bigmarvin,4,0.0,0.0,15535.0375,2317.561111111111,0.0660024221329752,1,0.3440024062973776,1,-1.0032034327828083,1,1
ctubbsii,1,0.0,0.0,211.8333333333333,0.0,0.1437341836762958,1,0.0070736614397155,1,-0.9970664880001138,1,1
cuibo01,1,0.0,0.0,6080.416666666667,0.0,0.1504329073853761,1,0.1742821053002616,1,-0.9997816033810756,1,1
edipesh19,1,0.0,0.0,26.866666666666667,0.0,0.1531518222819545,1,0.000453568169366,1,-0.9969588384811008,1,1
eolivelli,24,0.125,0.7916666666666666,31740.66666666667,29977.5195652174,-0.2585671490668424,-1,-2.6215169578515987,-1,-1.377422193898486,-1,-1
frederiko,2,0.0,0.0,1366.6,2764.366666666667,0.0619963359617076,1,0.0733198313860654,1,-0.99825077207214,1,1
iamgd67,1,0.0,0.0,15037.966666666667,0.0,0.1352426505647508,1,0.2646964611618889,1,-1.0004170230767706,1,1
lanicc,1,0.0,0.0,5023.15,0.0,0.1481782945783848,1,0.150413586071735,1,-0.9996636498755213,1,1
maoling,26,0.0,0.0384615384615384,74636.92948717948,26607.310000000005,-0.0847103019061036,1,-1.4194807848906388,1,-0.9981365405183992,1,1
nkalmar,2,0.0,0.0,31713.0,4.216666666666667,0.0846060654189847,1,-0.0002855828845702,1,-0.994784613145384,1,1
qwedsazzcc,2,0.0,0.0,3422.233333333333,118.65,0.1041206227724512,1,0.1278872857432418,1,-0.9993564570791948,1,1
r5vd,1,0.0,0.0,0.3833333333333333,0.0,0.1551947446112298,1,-0.0005008347584589,1,-0.9969437021441448,1,1
samirranjan,1,0.0,0.0,0.8666666666666667,0.0,0.1551947446112298,1,-0.0004834017873287,1,-0.9969437021441452,1,1
symat,6,0.0,0.1666666666666666,46723.69444444444,143695.50666666665,-0.0588689710944542,1,-0.4502497421579958,1,-0.99417716098027,1,1
tisonkun,1,0.0,0.0,17261.85,0.0,0.1287220627660559,1,0.2569898809871311,1,-1.0004722555170174,1,1
ztzg,27,0.0,0.4444444444444444,30050.9950617284,14115.041666666666,-0.0618602416296362,1,-0.8343485327292202,1,-1.001701693700543,1,1
