people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
AnanyaSingh2121,2,2,1.0,34.5,49184.96666666666,0.0,0.1246719267464696,1,0.2674681913810914,1,-0.994251290116759,1,1
BinyuHuang-nju,1,5,5.0,341.6,12936.1,0.0,0.1135708358238342,1,-0.000239784139115,1,-1.5685362542682555,1,1
BukrosSzabolcs,1,7,7.0,176.42857142857142,1634.9333333333334,0.0,0.0849020182630513,1,-2.302325343882917,1,-1.8935035400835296,1,1
MuktiKrishnan,5,8,1.6,64.75,5286.236666666666,0.0,0.1031530406202315,1,0.4024450443420466,1,-1.0604448481756252,1,1
Oliverwqcwrw,1,1,1.0,321.0,2700.583333333333,0.0,0.1517589235182336,1,0.4445178040891804,1,-1.127948034528237,1,1
Shoothzj,2,10,5.0,55.4,37759.41666666666,0.2,0.0532140115712525,1,-0.3002507989728809,1,-1.6756966838151333,1,1
Vanlightly,1,11,11.0,125.8181818181818,173370.71666666667,0.0,-0.080308973561307,-1,-7.305376308530236,1,-3.056512771259545,1,1
Winbobob,1,1,1.0,31.0,8009.083333333333,0.0,0.1605327464497793,1,-0.0728443663475175,1,-0.9815868310842144,1,1
abidaJustice,1,1,1.0,571.0,46711.3,0.0,0.1230457223770421,1,-0.4306583228433496,1,-1.5955278464242033,1,1
aihuaxu,1,1,1.0,80.0,9105.1,0.0,0.1687571770858902,1,0.174744244610542,1,-0.9769274395681627,1,1
andrekramer1,1,1,1.0,68.0,129845.71666666666,0.0,0.1400477758380212,1,-0.4249676889513516,1,-1.320519847825799,1,1
anmolnar,7,29,4.142857142857143,163.51724137931035,12576.823809523808,0.2916666666666667,0.0237235384422274,1,-0.3219118924761126,1,-1.7711347125546968,1,1
arshadmohammad,14,30,2.142857142857143,131.5,9124.158333333336,0.4814814814814814,0.0004429882593925,1,-3.5014520876692137,1,-2.6911225357752886,1,1
autumind,1,3,3.0,53.0,4285.5,0.0,0.1375405996685285,1,0.6590848022123623,1,-1.1439682852808093,1,1
belugabehr,2,2,1.0,64.5,6504.45,0.0,0.1453587006317541,1,0.1975070590784913,1,-0.9835788682595366,1,1
brahmareddybattula,1,1,1.0,37.0,28068.033333333333,0.0,0.1643614854581714,1,0.1110070303390085,1,-0.979883235031544,1,1
brentwritescode,2,3,1.5,161.33333333333334,16107.716666666667,0.0,0.1402359391052944,1,1.0077469279400422,1,-0.9940038650714385,1,1
chingchan1996,1,2,2.0,229.5,15491.066666666668,0.0,0.1557677818838015,1,1.2221780645304197,1,-0.9904481603582188,1,1
cnauroth,1,8,8.0,267.125,328.6666666666667,0.1875,0.0120590796764823,1,-3.5117831889349,1,-2.114720332804969,1,1
cpoerschke,1,1,1.0,66.0,345838.13333333336,0.0,0.0556727424229873,1,-5.527507106614044,1,-3.267124954873018,1,1
craiglawson,1,1,1.0,30.0,22719.233333333334,0.0,0.1631320476545329,1,0.0425904047953658,1,-0.9804890802835622,1,1
ctubbsii,4,15,3.75,550.8,328.0208333333333,0.1904761904761904,0.0247698959175852,1,8.518295817872001e-05,1,-1.494635436643334,1,1
cuibo01,1,3,3.0,260.3333333333333,1159.6833333333334,0.0,0.1314231915589625,1,1.1883403546200562,1,-1.2339702632570255,1,1
doxsch,1,1,1.0,59.0,181749.56666666668,0.0,0.1245657291761482,1,-1.540005360357604,1,-1.823502577239928,1,1
eolivelli,30,60,2.0,121.53333333333332,24557.21444444444,0.5581395348837209,-0.1516603137831527,-1,-8.186709141400794,-1,-3.650651600110356,1,-1
franz1981,1,1,1.0,562.0,1276.8166666666666,0.0,0.1357456392105384,1,-0.5429334634690388,1,-1.6107332906536986,1,1
frederiko,1,1,1.0,73.0,44623.566666666666,0.0,0.1636248510949866,1,0.3363769487171417,1,-0.987003496097355,1,1
functioner,3,7,2.333333333333333,459.4285714285714,26184.68888888889,0.0,0.1049802396394581,1,1.0051428705814145,1,-1.3273456810335404,1,1
gjcarrette,1,1,1.0,8.0,42708.93333333333,0.0,0.1505737723063789,1,0.0002184704064678,1,-0.9974767159936636,1,1
hanm,2,7,3.5,564.1428571428571,28891.425,1.0,-0.0588657948669416,1,-7.592615777869943,1,-2.8576686624308207,1,1
horvathdora,1,1,1.0,112.0,27446.83333333333,0.0,0.1683799044238148,1,0.4371463420324648,1,-0.9831549891348448,1,1
iamvevaar,1,1,1.0,221.0,12377.316666666668,0.0,0.1596389179033443,1,0.5716090522903343,1,-0.9867538405150622,1,1
ka1bi4,1,2,2.0,42.5,6993.033333333334,0.0,0.1562518937858611,1,0.554971783644195,1,-0.990782050347358,1,1
kelloggm,1,1,1.0,225.0,37169.26666666667,0.0,0.1566515460201314,1,0.7119442479865388,1,-0.984714971457442,1,1
kezhuw,9,20,2.2222222222222223,187.6,36663.48333333334,0.0,0.045316364972317,1,-0.3935214597173928,1,-1.6771431817023277,1,1
kyangcmXF,1,1,1.0,596.0,2298.266666666667,0.0,0.1323374398123256,1,-0.7535444615236528,1,-1.6959766679943793,1,1
lanicc,2,2,1.0,256.5,79350.325,0.0,0.1027950528918892,1,0.6982400281993062,1,-1.081857179361308,1,1
lfrancke,1,1,1.0,180.0,564925.05,0.0,-0.0365721444843677,1,-8.261038766090454,-1,-4.90740851875023,-1,-1
lhotari,1,2,2.0,192.5,129761.31666666668,0.0,0.1215801684870208,1,0.3486367739373097,1,-1.391633448971294,1,1
