case:concept:name,concept:name,time:timestamp,People
7076,CreateBranch,2021-01-04 13:28:55+00:00,AlbumenJ
7076,SubmitCommit,2021-01-04 14:15:16+00:00,AlbumenJ
7076,OpenPR,2021-01-04 14:16:33+00:00,AlbumenJ
7076,Revise,2021-01-04 14:30:07+00:00,AlbumenJ
7076,Revise,2021-01-07 08:12:25+00:00,AlbumenJ
7076,Revise,2021-01-07 09:32:51+00:00,chickenlj
7076,MergePR,2021-01-07 09:35:54+00:00,chickenlj
7076,DeleteBranch,2021-01-08 07:40:57+00:00,AlbumenJ
7077,CreateBranch,2021-01-04 08:03:37+00:00,zhangyz-hd
7077,SubmitCommit,2021-01-04 08:08:58+00:00,zhangyz-hd
7077,SubmitCommit,2021-01-04 08:13:42+00:00,zhangyz-hd
7077,SubmitCommit,2021-01-04 08:25:50+00:00,zhangyz-hd
7077,OpenPR,2021-01-05 01:27:21+00:00,zhangyz-hd
7077,Revise,2021-01-28 14:23:21+00:00,zhangyz-hd
7077,PRReviewComment,2021-01-29 14:58:06+00:00,AlbumenJ
7077,PRReviewComment,2021-01-29 14:58:07+00:00,AlbumenJ
7077,PRReviewComment,2021-01-31 01:42:49+00:00,zhangyz-hd
7077,PRReviewComment,2021-02-01 15:13:07+00:00,AlbumenJ
7077,PRReviewComment,2021-02-01 15:13:08+00:00,AlbumenJ
7077,PRReviewApprove,2021-02-01 15:13:23+00:00,AlbumenJ
7077,PRReviewApprove,2021-02-02 06:49:49+00:00,chickenlj
7077,MergePR,2021-02-02 06:49:59+00:00,chickenlj
7077,DeleteBranch,2021-02-19 05:42:36+00:00,zhangyz-hd
7078,CreateBranch,2021-01-05 03:18:10+00:00,AlbumenJ
7078,SubmitCommit,2021-01-05 03:19:46+00:00,AlbumenJ
7078,SubmitCommit,2021-01-05 03:22:29+00:00,AlbumenJ
7078,OpenPR,2021-01-05 03:33:42+00:00,AlbumenJ
7078,Revise,2021-01-05 04:23:00+00:00,AlbumenJ
7078,Revise,2021-01-05 04:28:29+00:00,AlbumenJ
7078,Revise,2021-01-05 04:36:34+00:00,AlbumenJ
7078,Revise,2021-01-05 04:46:44+00:00,AlbumenJ
7078,Revise,2021-01-16 07:03:31+00:00,AlbumenJ
7078,Revise,2021-01-16 08:55:54+00:00,AlbumenJ
7078,Revise,2021-01-18 11:22:31+00:00,AlbumenJ
7078,PRReviewApprove,2021-01-18 11:51:44+00:00,kylixs
7078,MergePR,2021-01-21 13:46:35+00:00,AlbumenJ
7078,DeleteBranch,2021-01-21 13:47:12+00:00,AlbumenJ
7080,ForkRepository,2021-01-05 10:52:17+00:00,alan-tang-tt
7080,SubmitCommit,2021-01-05 10:57:36+00:00,alan-tang-tt
7080,OpenPR,2021-01-05 11:02:31+00:00,alan-tang-tt
7080,PRReviewApprove,2021-01-07 05:17:39+00:00,ralf0131
7080,MergePR,2021-01-07 05:17:47+00:00,ralf0131
7082,CreateBranch,2021-01-06 07:52:14+00:00,horizonzy
7082,OpenPR,2021-01-06 07:53:27+00:00,horizonzy
7082,Revise,2021-01-26 08:09:49+00:00,horizonzy
7082,Revise,2021-01-26 08:14:07+00:00,horizonzy
7082,Revise,2021-03-06 09:16:41+00:00,horizonzy
7082,PRReviewComment,2021-03-23 05:16:28+00:00,AlbumenJ
7082,PRReviewReject,2021-03-23 05:16:31+00:00,AlbumenJ
7082,Revise,2021-03-23 05:25:36+00:00,horizonzy
7082,PRReviewComment,2021-03-23 06:10:54+00:00,horizonzy
7082,PRReviewApprove,2021-03-24 07:08:17+00:00,AlbumenJ
7082,MergePR,2021-03-24 07:08:35+00:00,AlbumenJ
7083,SubmitCommit,2021-01-06 08:43:35+00:00,thisiswanghy
7083,OpenPR,2021-01-06 08:49:58+00:00,thisiswanghy
7083,PRReviewApprove,2021-02-22 08:14:23+00:00,chickenlj
7083,MergePR,2021-02-22 08:14:44+00:00,chickenlj
7086,OpenPR,2021-01-07 08:35:41+00:00,chickenlj
7086,MergePR,2021-01-07 08:39:08+00:00,chickenlj
7087,SubmitCommit,2021-01-04 09:42:40+00:00,guohao
7087,SubmitCommit,2021-01-04 11:38:20+00:00,guohao
7087,SubmitCommit,2021-01-05 07:46:05+00:00,guohao
7087,SubmitCommit,2021-01-07 07:09:45+00:00,guohao
7087,SubmitCommit,2021-01-07 09:03:05+00:00,guohao
7087,OpenPR,2021-01-07 09:12:42+00:00,panxiaojun233
7087,Revise,2021-01-07 13:44:22+00:00,guohao
7087,Revise,2021-01-12 02:51:32+00:00,panxiaojun233
7087,Revise,2021-01-13 12:33:29+00:00,guohao
7087,Revise,2021-01-13 13:01:40+00:00,guohao
7087,Revise,2021-01-14 08:18:42+00:00,guohao
7087,Revise,2021-01-14 16:01:14+00:00,guohao
7087,Revise,2021-01-15 05:48:18+00:00,guohao
7087,Revise,2021-01-15 07:41:01+00:00,guohao
7087,Revise,2021-01-15 08:32:40+00:00,guohao
7087,Revise,2021-01-15 09:54:43+00:00,panxiaojun233
7087,Revise,2021-01-16 06:11:03+00:00,panxiaojun233
7087,Revise,2021-01-16 08:33:21+00:00,guohao
7087,Revise,2021-01-16 08:41:17+00:00,guohao
7087,Revise,2021-01-16 09:01:54+00:00,guohao
7087,Revise,2021-01-16 10:54:04+00:00,guohao
7087,Revise,2021-01-16 10:56:26+00:00,guohao
7087,Revise,2021-01-16 11:17:46+00:00,guohao
